"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"2592097","9788948201710","","나무가 된 다프네 ","[노벨과 개미] 편집부 글 ;오승원 그림","노벨과 개미","","74810","","","","219","나무가된다프네","노벨과개미편집부글오승원그림","","Y","Y","8948201719"
"2592120","9788948201604","","헤르메스 ","[노벨과 개미] 편집부 글 ;라애란 그림","노벨과 개미","","74810","","","","219","헤르메스","노벨과개미편집부글라애란그림","","Y","Y","8948201603"
"2592098","9788948201727","","아네모네 ","[노벨과 개미] 편집부 글 ;조성헌 그림","노벨과 개미","","74810","","","","219","아네모네","노벨과개미편집부글조성헌그림","","Y","Y","8948201727"
"2592106","9788948201741","","태양 마차를 끈 파에톤 ","[노벨과 개미] 편집부 글 ;안태이 그림","노벨과 개미","","74810","","","","219","태양마차를끈파에톤","노벨과개미편집부글안태이그림","","Y","Y","8948201743"
"2592057","9788948201772","","다이달로스의 미로 ","[노벨과 개미] 편집부 글 ;박의식 그림","노벨과 개미","","74810","","","","219","다이달로스의미로","노벨과개미편집부글박의식그림","","Y","Y","8948201778"
"2592076","9788948201703","","에코와 나르키소스 ","[노벨과 개미] 편집부 글 ;배은정 그림","노벨과 개미","","74810","","","","219","에코와나르키소스","노벨과개미편집부글배은정그림","","Y","Y","8948201700"
"2592091","9788948201666","","음악가 아리온 ","[노벨과 개미] 편집부 글 ;윤영철 그림","노벨과 개미","","74810","","","","219","음악가아리온","노벨과개미편집부글윤영철그림","","Y","Y","8948201662"
"3764152","9791131970683","1-9 /","용왕이 하는 일!","원작: 시라토리 시로 ;옮김: JYH","영상출판미디어","","07830","","","","830","용왕이하는일","원작시라토리시로옮김jyh","","Y","Y","9791131970683 (세트)"
"5217566","9791131970690","1","용왕이 하는 일!","원작: 시라토리 시로 ;옮김: JYH","영상출판미디어","","07830","5500","https://image.aladin.co.kr/product/13031/87/cover/k692532898_1.jpg","본격 농업학교 코미디 『농림』으로 이름을 떨친 작가, 시라토리 시로의 신작은 10대 용왕과 초등학생 제자의 장기계 코미디. 다짜고짜 제자로 받아달라고 쳐들어온 초등학생 제자와 일본장기 최고위 용왕이 펼치는 열혈과 감동의 사제 스토리가 또다른 풍미를 가미해서 코믹스로 등장한다.","830","용왕이하는일","원작시라토리시로옮김jyh","2018-01-30","Y","Y","9791131970690 (1)"
"5217567","9791131972953","2","용왕이 하는 일!","원작: 시라토리 시로 ;옮김: JYH","영상출판미디어","","07830","5500","https://image.aladin.co.kr/product/13375/79/cover/k332532101_1.jpg","2018년 1월부터 애니메이션 스타트! 용왕 VS 백은의 성기사! 대국 스타트!!자, 상상하라. 하늘을 달리는 「페가서스」를, 난공불락의 「요새」를.요동을 치는 신창(神槍) 「라이트윙 홀리 랜스」를.그리고 날아가는 진정한 필살기. 그 이름은 「용살! 게오르기우스」──밑바닥☆공식전 11연패 중인 최연소... ","830","용왕이하는일","원작시라토리시로옮김jyh","2018-02-28","Y","Y","9791131972953 (2)"
"5217568","9791131974193","3","용왕이 하는 일!","원작: 시라토리 시로 ;옮김: JYH","영상출판미디어","","07830","5500","https://image.aladin.co.kr/product/13410/10/cover/k382532305_1.jpg","10대 용왕과 초등학생 제자의 장기계 코미디 만화. 사부의 제자가 되기 위해, 제자의 사부가 되기 위해서 어린 히나츠루 아이의 인생이 걸린 대국의 결과는?! 그리고 「사부」와 「제자」의 결의, 그 결말은……?! 그리고 이 타이밍에서 「또 한 명의 아이」가 등장?! 메이드와 바니걸이 장기 대국을?!","830","용왕이하는일","원작시라토리시로옮김jyh","2018-03-02","Y","Y","9791131974193 (3)"
"5217569","9791131979921","4","용왕이 하는 일!","원작: 시라토리 시로 ;옮김: JYH","영상출판미디어","","07830","5500","https://image.aladin.co.kr/product/14233/5/cover/k052532636_1.jpg","제자를 강하게 키우고 싶다. 그 마음에 키우게 된 「라이벌」 야샤진 아이. 그리고 시작되는, 여러 의미의 「비밀」 훈련. ……어, 근데 새 제자도 초등학생(여)?! 더군다나 이름도 「아이」?!! 이거, 들켰다간 큰일이 나는 이야기잖아(?)","830","용왕이하는일","원작시라토리시로옮김jyh","2018-05-01","Y","Y","9791131979921 (4)"
