"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"3422889","9791127207854","","(아빠와의 대화로 배우는) 철학자의 생각 ","권오득 지음","부크크","","03100","7500","http://image.aladin.co.kr/product/10482/56/cover/k562539444_1.jpg","고대부터 현대까지 서양 유명 철학자의 핵심 용어를 현대의 가벼운 일상대화로 배우고 느낄 수 있는 책! 학생에겐 학습서, 성인에겐 교양을 쌓을 수 있는 책!","102","아빠와의대화로배우는철학자의생각","권오득지음","2017-01-31","Y","Y","9791127207854"
"3507696","9788995440209","","신기원을 연다 :平和宗主國 됨 ","저자: 김선적","一心一","","03300","5000","","","259","신기원을연다됨","저자김선적","","Y","Y","9788995440209"
"3507703","9791195982004","","십년 뒤 물어보기 생각해보기 :십년 전 돌아보기 생각해보기 ","저자명: 이강한","리콤마","","02800","20000","","","818","십년뒤물어보기생각해보기십년전돌아보기생각해보기","저자명이강한","","Y","Y","9791195982004"
"3409467","9788996915188","","그대 행복한가요? :행복을 잃고 살아가는 바보들에게 주는 서서평의 편지 ","편저: 양국주","서빙더피플","","03230","16000","http://image.aladin.co.kr/product/9955/31/cover/8996915181_1.jpg","양국주 에세이 『그대 행복한가요?』. 저자 양국주의 에세이 작품을 담은 책이다. '순심이 이야기', '바람 같았던 어린 시절', '내 인생을 송두리째 뒤바꾼 스무살 어느 날', '서른 둘, 무궁화 꽃이 피었습니다' 등을 수록했다.","235.6","그대행복한가요행복을잃고살아가는바보들에게주는서서평의편지","편저양국주","2016-12-15","Y","Y","9788996915188"
"3507709","9788970878362","","국가인권위법상 차별금지사유 '성적지향' 삭제 개정의 정당성 :선량한 성도덕에 반하는 동성간 성행위를 옹호 조장하는 법의 폐해들 ","조영길 지음","미래사","","03330","6000","","","334.226","국가인권위법상차별금지사유성적지향삭제개정의정당성선량한성도덕에반하는동성간성행위를옹호조장하는법의폐해들","조영길지음","","Y","Y","9788970878362"
"3507717","9788998098650","","우송 기초 중국어 ","저자: Su Hang","우송대학교출판부","","13720","","","","727.5","우송기초중국어","저자suhang","","Y","Y","9788998098650"
"3507721","9788998098629","","做中学汉语 ","Wei Danxia 저","우송대학교출판부","","13720","","","","727","","weidanxia저","","Y","Y","9788998098629"
"3507732","9788998098643","","观光汉语 ","Zhao Jianrong 저","우송대학교출판부","","13720","","","","727","","zhaojianrong저","","Y","Y","9788998098643"
"3507733","9788998098681","","你不仅仅代表你自己 :对韩汉语教师手册 ","감서원 저","우송대학교","","13720","","","","727","","감서원저","","Y","Y","9788998098681"
"3507734","9788998098667","","우화 중국어 독해 ","Chen Yuxuan 저","우송대학교출판부","","13720","","","","727","우화중국어독해","chenyuxuan저","","Y","Y","9788998098667"
"3422156","9788958001836","","그래도 풀꽃들을 피우는 박토 :이시환의 각종 저서를 읽고 쓴 여러 유형의 서평·서신·평론 모음 ","지은이: 정정길,채수명","신세림출판사","","03810","15000","https://bookthumb-phinf.pstatic.net/cover/117/517/11751745.jpg?type=m1&udate=20170313","『그래도 풀꽃들을 피우는 박토』는 6부으로 나뉘어 있으며 이시환 문학과 작품을 읽고 난 감상을 에세이 형식으로 적어 엮은 것이다.","810.82","그래도풀꽃들을피우는박토이시환의각종저서를읽고쓴여러유형의서평서신평론모음","지은이정정길,채수명","2017-03-01","Y","Y","9788958001836"
"5179832","9788927420927","","건축설비 ","저자: 차상곤","예문사","","14540","17000","https://image.aladin.co.kr/product/9992/32/cover/8927420926_1.jpg","각 단원별로 핵심내용을 이해가 쉽도록 체계적으로 정리하여 단기간 내에 수험준비를 할 수 있도록 하였으며, 핵심내용은 별도의 난을 두어 입체적으로 구성하여 이해 및 정리가 되도록 하였다.","546.077","건축설비","저자차상곤","2017-01-20","Y","Y","9788927420927"
"3506654","9788927420880","","건축법규 ","저자: 이준원,송원흠","예문사","","14540","","","","540.077","건축법규","저자이준원,송원흠","","Y","Y","9788927420880 (세트)"
"3507741","9788927420958","","발송배전 기술사 =Professional engineer generation transmission and disribution ","저자: 임성창,하용일","예문사","","13560","75000","https://bookthumb-phinf.pstatic.net/cover/115/043/11504364.jpg?type=m1&udate=20170104","- 독자대상 : 발송배전기술사 준비생- 구성 : 이론 + 문제 + 정답 및 해설- 특징 :① 1권 발전·송전 분야② 2권 변전·배전·계통 분야③ 각 분야마다 기출된 계산문제를 풀이와 함께 수록④ 최신 출제 경향 파악","560.77","발송배전기술사professionalengineergenerationtransmissionanddisribution","저자임성창,하용일","2017-01-10","Y","Y","9788927420958"
"5179833","9788927420934","","건축법규 ","저자: 이준원,송원흠","예문사","","14540","19000","https://image.aladin.co.kr/product/9992/29/cover/8927420934_1.jpg","각 단원별로 핵심내용을 이해하기 쉽도록 체계적으로 정리하여 단기간 내에 수험준비를 할 수 있도록 하였으며, 핵심내용은 별도의 난을 두어 입체적으로 구성하여 이해 및 정리가 되도록 하였다.","540.077","건축법규","저자이준원,송원흠","2017-01-20","Y","Y","9788927420934"
"3507742","9788927420866","","(No.1) 건설재료 시험실기 =기사·산업기사 /Industrial engineer construction material testing ","고행만 편저","예문사","","13530","28000","https://bookthumb-phinf.pstatic.net/cover/115/043/11504365.jpg?type=m1&udate=20170105","- 독자대상 : 건설재료시험 기사 산업기사 실기 시험 준비생- 구성 : 이론 + 문제- 특징 : ① 이론 필답은 골재 및 콘크리트 분야, 토질 분야, 아스팔트 분야로 분류② 중복되는 문제없이 새로운 문제를위주로 수록③ 실기작업은 사진과 주의할 사항을 과정별로 설명","532.4077","no1건설재료시험실기기사산업기사industrialengineerconstructionmaterialtesting","고행만편저","2017-01-15","Y","Y","9788927420866"
"3507745","9788960111103","","체육시설 안전사고 사례집 ","책임 연구원: 김유겸 ;이동렬","국민체육진흥공단","","93690","","","","692.3","체육시설안전사고사례집","책임연구원김유겸이동렬","","Y","Y","9788960111103"
"3507749","9788965412977","","(초급간부를 위한) 교수법의 이론과 실제 ","서선우 저","진영사","","93390","15000","","","393","초급간부를위한교수법의이론과실제","서선우저","","Y","Y","9788965412977"
"3507754","9791195754304","","철도운송산업기사 =필기 /Industrial engineer railroad transport ","선우영호,김희대 공저","베스트에듀","","13550","42000","","","326.34077","철도운송산업기사필기industrialengineerrailroadtransport","선우영호,김희대공저","","Y","Y","9791195754304"
"3507765","9791195754328","","철도교통 안전관리자 :이론+적중예상문제 ","선우영호 편저","베스트에듀","","13530","35000","","","326.34077","철도교통안전관리자이론적중예상문제","선우영호편저","","Y","Y","9791195754328"
"3507766","9791195854813","","백포 곽남배 기증작품집 =1929-2004 /Baek po Kwak Nam Bae ","진도군 남도전통미술관 [편]","진도군","","16650","15000","","","653.11","백포곽남배기증작품집19292004baekpokwaknambae","진도군남도전통미술관편","","Y","Y","9791195854813"
