"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"6370381","9791165132118","","2021 (재택학습형) 도서관노인서비스 ","국립중앙도서관 [편]","국립중앙도서관","","93020","","","","","2021재택학습형도서관노인서비스","국립중앙도서관편","","Y","Y",""
"6370382","9791190811460","","2022 EBS 공인중개사 기본서 2차 중개사법령 및 실무","한민우 (지은이)","랜드하나","","14320","32000","https://image.aladin.co.kr/product/28344/24/cover/k892835103_1.jpg","수험생들이 기본기를 탄탄하게 다질 수 있도록 시험의 출제 비중을 분석하여 단원별 핵심개념부터 기본예제 문제와 새롭게 ox문제를 수록하여 초보자도 쉽게 공인중개사 공부를 시작할 수 있도록 구성하였다.","","2022ebs공인중개사기본서2차중개사법령및실무","한민우지은이","2021-11-18","Y","Y",""
"6370383","9791190811477","","2022 EBS 공인중개사 기본서 2차 부동산공시법","양기백 (지은이)","랜드하나","","14320","31000","https://image.aladin.co.kr/product/28344/11/cover/k592835103_1.jpg","2022년도 제33회 공인중개사 시험 합격을 목표로 하는 학생들이 꼭 봐야 하는, 공인중개사 자격증 시험 준비 교재의 표본이다. 시험의 출제 비중을 분석하여 단원별 핵심개념부터 기본예제 문제와 새롭게 ox문제를 수록하였다.","","2022ebs공인중개사기본서2차부동산공시법","양기백지은이","2021-11-18","Y","Y",""
"6370384","9788948071450","","(청년창업농을 위한) 귀농 핸드북 ","집필·편집: 이인규","농촌진흥청 기술협력국 농산업경영과","","93520","","","","","청년창업농을위한귀농핸드북","집필편집이인규","","Y","Y",""
"6370385","9791188647088","","오 거룩하신 주님 - 오르간 찬송가 편곡집 7","박미라 (지은이)","가온음출판","","93670","13000","https://image.aladin.co.kr/product/28511/79/cover/k672835831_1.jpg","가온음 오르간 악보 시리즈. 부활절에 즐겨 연주되는 헨델의 메시아 중 할렐루야가 오르간을 위해 편곡되었고, 저자가 고난주간의 성 금요기도회에서 즉흥으로 연주하였던 “오 거룩하신 주님” 또한 악보로 옮겨져 있다.","","오거룩하신주님오르간찬송가편곡집7","박미라지은이","2021-11-25","Y","Y",""
"6370386","9791197332371","","តើយើងទាំងអស់គ្នាពិតជាមានពពុះដែរឬទេ? :","[ផលិតដោយ: ក្រុមវិភាគទាន SNU ឌីជីថល រដូវក្តៅ ឆ្នាំ២០២១៖ការផលិត អត្ថបទងាយស្រួល (SNU PreciouSNU for easy contents), Dahhyeon Kang, Ayoung Kang, Yunji Kwon, Bokyung Kim, Hana Kim, Hyerin Park, Jiwon Oh, Kyungah Lee, Eungyu Lee, Hyeonji Choi]","","","77330","","","","","","snusnupreciousnuforeasycontents,dahhyeonkang,ayoungkang,yunjikwon,bokyungkim,hanakim,hyerinpark,jiwonoh,kyungahlee,eungyulee,hyeonjichoi","","Y","Y",""
"6370387","9788982451799","","(2021) 뿌리산업 백서 =","집필 및 감수위원: 고용호","KPIC(국가뿌리산업진흥센터)","","03090","","","","","2021뿌리산업백서","집필및감수위원고용호","","Y","Y",""
"6370388","9791197083242","","Korean green literature :","[by] Park Hi-jin","Korea Forest Service","","03810","","","","","koreangreenliterature","byparkhijin","","Y","Y",""
"6370389","9791165132088","","2021 「(재택학습형)독서지도심화-그림책읽기와책놀이」 과정 ","국립중앙도서관 [편]","국립중앙도서관","","93020","","","","","2021재택학습형독서지도심화그림책읽기와책놀이과정","국립중앙도서관편","","Y","Y",""
"6370390","9791191392098","","2020 설악산국립공원 공원자원조사 :","연구책임: 권영수","국립공원공단 국립공원연구원","","93400","","","","","2020설악산국립공원공원자원조사","연구책임권영수","","Y","Y",""
