"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"1194692","9788993786217","","(강남구청 인터넷 수능방송) 수학II 개념편 :수리영역 ","저자: 박숙녀,윤장노","애니모비","","53410","8000","http://image.aladin.co.kr/product/859/29/cover/8993786216_1.jpg","- 독자대상 : 수능시험을 준비하는 수험생- 구성 : 기본이론 + 연습문제- 특징① 수능과 내신을 100% 잡는 출제유형별 핵심 개념 정리② 다시 출제 될 수밖에 없는 변별력ㆍ적중률 높은 수능, 평가원, 교육청 기출문제 수록","410","강남구청인터넷수능방송수학ii개념편수리영역","저자박숙녀,윤장노","2011-01-01","Y","Y","9788993786217"
"1194697","9788993786484","","(강남구청 인터넷 수능방송) 유형별 문학 총정리 :언어영역 ","저자: 황혜진,이유진","애니모비","","53710","9000","http://image.aladin.co.kr/product/1216/52/cover/8993786488_1.jpg","- 독자대상 : 수능시험 준비생- 구성 : 문제- 특징① 현대시, 운문 복합, 고전소설 등 문학을 유형별로 나누어 정리함② 지문과 문제에 대한 자세한 해설을 수록함","800","강남구청인터넷수능방송유형별문학총정리언어영역","저자황혜진,이유진","2011-07-04","Y","Y","9788993786484"
"1194706","9788993786248","","(강남구청 인터넷 수능방송) 수리영역 잘하는 법 :수리영역 ","저자: 임홍덕","애니모비","","53410","7000","http://image.aladin.co.kr/product/872/95/cover/8993786240_1.jpg","- 독자대상 : 수능시험을 준비하는 수험생 - 구성 : 개념이론 + 연습문제- 특징 ① 수능과 내신을 100% 잡는 출제유형별 핵심 개념 정리 ② 다시 출제 될 수밖에 없는 변별력ㆍ적중률 높은 수능, 평가원, 교육청 기출문제 수록","410","강남구청인터넷수능방송수리영역잘하는법수리영역","저자임홍덕","2011-01-24","Y","Y","9788993786248"
"1194707","9788993786422","","(강남구청 인터넷 수능방송) 1등급특강 수리나형 :수리영역 ","저자: 박숙녀,윤장노","애니모비","","53410","9000","http://image.aladin.co.kr/product/1157/69/cover/8993786429_1.jpg","- 독자대상 : 수능시험을 준비하는 수험생- 구성 : 핵심이론 + 연습문제 + 기출문제- 특징① 수능과 내신을 100% 잡는 출제유형별 핵심 개념 정리② 다시 출제될 수 밖에 없는 변별력ㆍ적중률 높은 수능, 평가원, 교육청 기출문제 수록","410","강남구청인터넷수능방송1등급특강수리나형수리영역","저자박숙녀,윤장노","2011-05-01","Y","Y","9788993786422"
"1194710","9788993786361","","(강남구청 인터넷 수능방송) 지구과학II 개념편 :과학탐구영역 ","저자: 엄영대","애니모비","","53450","15000","http://image.aladin.co.kr/product/884/37/cover/8993786364_1.jpg","- 독자대상 : 수능시험을 준비하는 수험생- 구성 : 기본이론 + 기출문제- 특징 ① 수능과 내신을 100% 잡는 출제유형별 핵심 개념 정리 ② 다시 출제 될 수밖에 없는 변별력ㆍ적중률 높은 수능, 평가원, 교육청 기출문제 수록","450","강남구청인터넷수능방송지구과학ii개념편과학탐구영역","저자엄영대","2011-01-27","Y","Y","9788993786361"
"2750098","9788921455642","","셰익스피어 ","글: 송창용 ;그림: 권영묵","교원","","74800","10000","","","990","셰익스피어","글송창용그림권영묵","","Y","Y","9788921455642"
"2750122","9788921455888","","에디슨 ","글: 노정훈 ;그림: 김계만","교원","","74800","10000","","","990","에디슨","글노정훈그림김계만","","Y","Y","9788921455888"
"2750093","9788921455598","","마리 퀴리 ","글: 이혜영 ;그림: 장종균","교원","","74800","10000","http://image.aladin.co.kr/product/2373/55/cover/scm2865442346181.jpg","","990","마리퀴리","글이혜영그림장종균","0001-01-01","Y","Y","9788921455598"
"2750129","9788921455956","","세계의 지도자 ","글: 임재인","교원","","74800","10000","","","990","세계의지도자","글임재인","","Y","Y","9788921455956"
"1194711","9788921001702","","세계의 개척자 ","글: 이여신","교원","","74800","","http://image.aladin.co.kr/product/6984/82/cover/scm4436523939509.jpg","","990","세계의개척자","글이여신","2011-12-30","Y","Y","9788921001702(세트)"
"2750132","9788921455987","","세계의 개척자 ","글: 이여신","교원","","74800","10000","","","990","세계의개척자","글이여신","","Y","Y","9788921455987"
"1194745","9788961960915","","(출발!) 청소년 한국미술사 :고구려 고분벽화에서 백남준까지 교과서에 숨어 있는 역사 속 우리미술 이야기 ","박갑영 지음","아트북스","","03600","18000","http://image.aladin.co.kr/product/1300/87/cover/8961960911_1.jpg","역사 교과서와 미술 교과서에 실린 작품 가운데 고대 암각화에서 백남준의 「다다익선」까지, 꼭 알아야 할 작품을 엄선해 시대별 특징을 짚고 대표 작가와 작품을 자세히 설명한다. 200여 점의 작품과 함께 그림 기법, 그림을 그린 화가들의 삶, 화가가 역사와 맺은 관계, 우리미술이 변화하는 과정 등 풍성한 이야깃거리를 담았다.","609","출발청소년한국미술사고구려고분벽화에서백남준까지교과서에숨어있는역사속우리미술이야기","박갑영지음","2011-09-05","Y","Y","9788961960915"
"1194751","9788956604275","1-2 /","비문신공의 비문학 독해공식","신진상 지음","은행나무","","04810","20000","http://image.aladin.co.kr/product/10412/82/cover/8956604274_1.jpg","미당 서정주 전집 8~11권 '산문 전집'. 총 247편의 산문을 네 권으로 분류하고, 각 권의 제목을 새로 붙였다. 10권 &lt;풍류의 시간&gt;은 신라 정신 및 불교 사상, 한국 전통의 아름다움에 관한 글을 수록했다.","717","비문신공의비문학독해공식","신진상지음","2017-03-13","Y","Y","9788956604275 (10)"
