"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"1876699","9788970745732","","대기환경 기사·산업기사 :실기 ","전화택 저","구민사","","13550","27000","http://image.aladin.co.kr/product/1472/59/cover/8970745734_1.jpg","본서는 대기환경 기사 산업기사 실기시험을 준비하는 수험생들을 위해 기출문제들을 철저히 분석하여 집필한 것으로 각 과목들을 혼자서도 충분히 정리할 수 있도록 핵심내용과 출제될 수 있는 문제들을 엄선하여 수록하였다. 그리고 최근 출제된 과년도 문제들과 그 해설을 실어 수험생들도 출제문제를 분석하여 시험에 대비할 수 있도록 하였다.","539.92077","대기환경기사산업기사실기","전화택저","2012-02-06","Y","Y","9788970745732"
"1876701","9788970745060","","대기환경산업기사 :과년도 문제해설 ","지은이: 전화택","구민사","","13550","24000","http://image.aladin.co.kr/product/1297/63/cover/8970745068_1.jpg","본 수험서는 대기환경 필기시험을 준비하는 수험생들을 위해 집필된 것으로 최근 출제된 과년도 문제들과 그 해설을 실어 수험생들이 짧은 기간에 출제문제를 분석하여 시험에 대비할 수 있도록 하였다. 또한 각 과목의 핵심적인 내용을 요점정리하여  수험생들에게 도움이 되도록 하였다.","539.92077","대기환경산업기사과년도문제해설","지은이전화택","2012-01-10","Y","Y","9788970745060"
"1876703","9788970746173","","(7일 완성) 조주기능사 완전정복 :필기 ","전재구 저","구민사","","13550","","http://image.aladin.co.kr/product/1800/80/cover/897074617x_1.jpg","바텐더는 음료 서비스 전문가다. 단순히 칵테일을 만들고 음료를 서비스하는 사람이 아니라 때로는 친구, 때로는 조언자의 역할을 하는 사람이다. 그래서 미국에는 ‘사람의 몸은 의사가 치료하고, 사람의 마음은 바텐더가 치료한다’ 는 말이 있다.","573.55077","7일완성조주기능사완전정복필기","전재구저","2012-07-10","Y","Y","9788970746173"
"1876710","9788970745114","","대기환경 기사·산업기사 :필기 ","전화택 저","구민사","","13550","39000","http://image.aladin.co.kr/product/1356/8/cover/8970745114_1.jpg","본서는 대기환경 기사 산업기사 필기시험을 준비하는 수험생들을 위해 기출문제들을 철저히 분석하여 집필한 것으로 각 과목들을 혼자서도 충분히 정리할 수 있도록 핵심내용과 출제될 수 있는 문제들을 엄선하여 수록하였다. 그리고 최근 출제된 과년도 문제들과 그 해설을 실어 수험생들도 출제문제를 분석하여 시험에 대비할 수 있도록 하였다.","539.92077","대기환경기사산업기사필기","전화택저","2012-01-10","Y","Y","9788970745114"
"1876739","9788948016536","","변화하는 토종벌 농가 우수 사례집 ","저자: 우순옥,이명렬","농촌진흥청 국립농업과학원 농업생물부 잠사양봉소재과","","03520","","","","527.7","변화하는토종벌농가우수사례집","저자우순옥,이명렬","","Y","Y","9788948016536"
"1876758","9788981640873","1","몽골도르릭 나르스 흉노무덤","김정완,이용범","국립중앙박물관","","94910","","","","912.6","몽골도르릭나르스흉노무덤","김정완,이용범","","Y","Y","9788981640873 (1)"
"5708263","9788981641184","2","몽골도르릭 나르스 흉노무덤","김정완,이용범","국립중앙박물관","","93910","","","","912.6","몽골도르릭나르스흉노무덤","김정완,이용범","","Y","Y",""
"1876794","9788970745985","","생산자동화산업기사 :필기 ","박찬술,홍순구 저","구민사","","13550","32000","http://image.aladin.co.kr/product/1593/49/cover/897074598x_1.jpg","본서는 국가기술자격 출제기준에 의하여 출제 과목별 체계적인 단원 분류 및 해설을 삽입하여 학습자가 스스로 단기간에 학습수준을 증진시킬 수 있도록 하였다. 최근에 출제되는 문제를 분석하여 이론을 정립하였고 예제문제로 자격증시험에 대비할 수 있도록 하였으며, 각 단원의 출제 예상 문제를 엄선하여 수록하고, 명확한 해설을 삽입하여 학습자가 쉽게 문제를 해결하고 학습할 수 있도록 하였다. 부록으로 기존 산업기사 출제문제를 제공하여 스스로 학습자의 수준을 평가할 수 있도록 하였다.","530.969077","생산자동화산업기사필기","박찬술,홍순구저","2012-04-05","Y","Y","9788970745985"
"1876798","9788970746081","","(기초에서 실무개발자까지) 생각하는 자바프로그래밍 =JAVA programing ","안용화 지음","구민사","","13560","25000","http://image.aladin.co.kr/product/1702/57/cover/8970746080_1.jpg","처음으로 프로그래밍 언어를 배우는 사람들을 위해 변수, 메소드 및 대입연산자와 같이 프로그래밍의 기본적인 내용을 이해하기 쉽게 설명하였다.","005.135","기초에서실무개발자까지생각하는자바프로그래밍javaprograming","안용화지음","2012-05-20","Y","Y","9788970746081"
"1876840","9788989768814","","(6·25전쟁) 학도의용군 연구 ","집필: 나종남,김현주","국방부 군사편찬연구소","","93390","","","","911.0723","625전쟁학도의용군연구","집필나종남,김현주","","Y","Y","9788989768814"
"1876841","9788989768821","","(6·25전쟁) 학도의용군 자료집 ","집필: 나종남,김은비","국방부 군사편찬연구소","","93390","","","","911.0723","625전쟁학도의용군자료집","집필나종남,김은비","","Y","Y","9788989768821"
"1839601","9788974647391","","현상학 :시적 감각의 지성 =Phenomenology : intelligence of poetic sensation ","지은이: 송석랑","한국외국어대학교 출판부","","94100","","","","132.4","현상학시적감각의지성phenomenologyintelligenceofpoeticsensation","지은이송석랑","","Y","Y","9788974647391 (세트)"
"1876974","9788962923285","","언어와 교육 :국어 교육과 한국어 교육의 쟁점과 과제 ","金鎰炳 편","박이정","","93710","40000","http://image.aladin.co.kr/product/1946/59/cover/8962923289_1.jpg","언어와 교육에 관련된 전공 도서이다. 국어학, 국어 교육, 한국어 교육의 각 분야별 이론의 전개 또는 쟁점의 정리와 과제를 제시하거나, 가능한 경우에는 문제 해결 방안과 실천적 적용 등을 제시하였다.","710.7","언어와교육국어교육과한국어교육의쟁점과과제","편","2012-08-31","Y","Y","9788962923285"
"1877007","9788993451559","","문제해결 자아성찰 목표관리 :노순규 원장의 134권째 저서 ","노순규 저","한국기업경영연구원","","03320","30000","http://image.aladin.co.kr/product/1997/28/cover/8993451559_1.jpg","노순규 원장의 134권째 저서『문제해결 자아성찰 목표관리』. 이 책은 문제의 발생과 해결기법부터 문제해결의 조직관리와 리더십, 창의적 문제해결과 TRIZ의 내용, 자아성찰과 SWOT 자기분석, 목표관리와 목표달성에 대한 내용을 고스란히 담아낸 책이다.","325.1","문제해결자아성찰목표관리노순규원장의134권째저서","노순규저","2012-10-08","Y","Y","9788993451559"
"1877095","9787802323902","","民族与宗教的互动 :阿拉伯民族主义与伊斯兰教关系研究 =(The) interactions between nation and religion : studies on the relations between Arab nationalism and Islam ","刘中民 著","时事出版社","","","","","","340.91","theinteractionsbetweennationandreligionstudiesontherelationsbetweenarabnationalismandislam","","","Y","Y","9787802323902:"
"1877112","9787546900896","","中国新疆通史 =China history of Xin jiang ","主编: 田卫疆,伊第利斯·阿不都热苏勒","新疆美术摄影出版社","","","","","","912.7","chinahistoryofxinjiang",",","","Y","Y","9787546900896:"
"3260594","9788974647667","","현상학 :시적 감각의 지성 =Phenomenology : intelligence of poetic sensation ","지은이: 송석랑","한국외국어대학교 출판부","","94100","20000","http://image.aladin.co.kr/product/2008/6/cover/8974647664_1.jpg","현상학과 예술의 관계를 지성과 감각의 연관성을 통해, 혹은 현상학의 지성적 논리와 예술작품의 감각적 논리 사이의 내적 유기성을 통해 규명한다. 현상학과 예술작품 사이의 동근원성이 한 자리에서 구체의 작품들을 통해 보다 명확히 제시된다.","132.4","현상학시적감각의지성phenomenologyintelligenceofpoeticsensation","지은이송석랑","2012-09-20","Y","Y","9788974647667"
"1877115","9787561760161","","新编历史教学论 ","朱汉国,郑林 主编","华东师范大学出版社","","","","","","907","",",","","Y","Y","9787561760161:"
"1877119","9787802321007","","中国外交战略和政策  =China's foreign strategy and policy ","楚树龙,金威 主编","时事出版社","","","","","","349.12","chinasforeignstrategyandpolicy",",","","Y","Y","9787802321007:"
"1877135","9787509707791","","政府公共决策与公民参与 =Citizen participation in the government public decision-making ","石路 著","社会科学文献出版社","","","","","","340.912","citizenparticipationinthegovernmentpublicdecisionmaking","","","Y","Y","9787509707791:"
"1877149","9787501236732","","中国近现代疆域问题研究 =Zhongguo jinxiandai wenti yanjiu ","刘恩恕,刘惠恕 著","世界知识出版社","","","","http://image.aladin.co.kr/product/2326/87/cover/7501236739_1.jpg","","349.12","zhongguojinxiandaiwentiyanjiu",",","2009-12-01","Y","Y","9787501236732:"
"1877160","9787811082319","","中国民族理论新编 =Zhongguo minzu lilun xinbian ","主编: 吴仕民 ;金炳镐","中央民族大学出版社","","","","","","912","zhongguominzulilunxinbian","","","Y","Y","9787811082319:"
"1877172","9788901147154","","올리버 에그와 새 ","펄리시티 그레그 글·그림 ;홍연미 옮김","웅진씽크빅","","77800","","","","808.3","올리버에그와새","펄리시티그레그글그림홍연미옮김","","Y","Y","9788901147154 (세트)"
"2743146","9788901147277","","제이크의 신 나는 음악대 ","데이비드 하이드 코스텔로 글·그림 ;엄혜숙 옮김","웅진씽크빅","","77800","11000","","","808.3","제이크의신나는음악대","데이비드하이드코스텔로글그림엄혜숙옮김","","Y","Y","9788901147277"
"2743147","9788901147284","","올리버 에그와 새 ","펄리시티 그레그 글·그림 ;홍연미 옮김","웅진씽크빅","","77800","10000","","","808.3","올리버에그와새","펄리시티그레그글그림홍연미옮김","","Y","Y","9788901147284"
"918046","9788956976747","","아이다 ","원작: 주세페 베르디 ;글·그림: 신경숙","형설아이","","74650","135000","https://bookthumb-phinf.pstatic.net/cover/163/403/16340314.jpg?type=m1&udate=20210908","총 10편의 오페라를 만화로 만나볼 수 있는 작품이다.","674","아이다","원작주세페베르디글그림신경숙","20051010","Y","Y","8956976740(세트)"
"1877243","9788993662887","","박근혜, 부드러운 힘으로 세상의 변화를 꿈꾸다 ","오효진 지음 ;구수한 그림","스코프","","73810","12000","http://image.aladin.co.kr/product/1940/7/cover/8993662886_3.jpg","대통령의 딸에서 작은 퍼스트레이디로, 이제는 우리나라 최초로 여당의 여성 대통령 후보가 된 박근혜의 꾸밈없는 인간 이야기를 담았다. 저자는 아이들이 올바른 정치관을 쉽게 가질 수 있도록, 이해하기 힘든 정치인의 일상을 동화 형태로 풀어냈다.","990","박근혜,부드러운으로세상의변화를꿈꾸다","오효진지음구수한그림","2012-09-10","Y","Y","9788993662887"
"1877196","9788965410799","","NEAT 쓰기 완성 :고민곤 샘의 NEAT 쓰기완성으로 쓰기 고민 끝 ","고민곤 저","진영사","","13740","25000","http://image.aladin.co.kr/product/1715/5/cover/8965410797_1.jpg","학생들이 쓰기부분에 두려움을 느끼는 이유는 간단하다. 매일 매일 쓰기연습을 전혀 하지 않기 때문이다. 현재 갖고 있는 영어능력으로도 어느 정도 자신의 생각을 표현할 수 있는데 그럴 필요성을 느끼지 못하기 때문에 학생들의 쓰기에 대한 능력을 감소되는 것이다. 이 책은 국가영어능력평가시험(NEAT: National English Ability Test) 쓰기 시험 대비 교재로, 쓰기라는 것에 대한 학습자들의 개념이 서고 실전연습에 도움이 되는 자료가 될 수 있도록 하였다.","746","neat쓰기완성고민곤샘의neat쓰기완성으로쓰기고민끝","고민곤저","2012-05-16","Y","Y","9788965410799"
"1877277","9788970943879","","밤에 수영하는 아이들 ","베치 바이어스 글 ;김영욱 옮김","한림출판사","","73840","9500","http://image.aladin.co.kr/product/2021/13/cover/8970943870_1.jpg","아메리칸북어워드, 보스턴 글로브 혼 북 상 등을 수상하고 19개 이상의 언어로 번역되어 출간된 아동문학가 베치 바이어스의 작품이다. 세 남매의 팽팽한 갈등과 따뜻한 형제애를 누나 레타의 시선으로 세심하고 밀도있게 그리고 있다.","843","밤에수영하는아이들","베치바이어스글김영욱옮김","2012-10-05","Y","Y","9788970943879"
"1877295","9788998172008","","나도 사자가 무서워 ","글: 한규호 ;그림: 심계표","받침없는동화","","64710","32500","https://bookthumb-phinf.pstatic.net/cover/071/469/07146919.jpg?type=m1&udate=20150612","받침 없는 동화 시리즈는 전5권으로 구성되어 있습니다. 그 동안 주로 낱권으로 판매되었으나,  2014년 11월 21일에 도서정가제가 실시됨에 따라  본격적으로 세트 판매가 진행됩니다. 감사합니다.","813.7","나도사자가무서워","글한규호그림심계표","2013-12-10","Y","Y","9788998172008 (세트)"
