"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"6365366","9780241449103","227","Healthy eating","Ladybird books","","","","","","","747","healthyeating","ladybirdbooks","","Y","Y",""
"6365367","9780241449073","224","Emergency rescue","Ladybird books","","","","","","","747","emergencyrescue","ladybirdbooks","","Y","Y",""
"6365368","9780241449028","15","Going swimming","Ladybird books","","","","","","","747","goingswimming","ladybirdbooks","","Y","Y",""
"6365369","9780241448984","19","Astronauts","Ladybird books","","","","","","","747","astronauts","ladybirdbooks","","Y","Y",""
"6365370","9780990927525","","The House on Haunted Hollow (Hardcover, 2)","Dayton Young (지은이), 폭스 (Christopher Fox) (그림)","Mr. Fox Studios","","","27310","https://image.aladin.co.kr/product/18989/82/cover/0990927520_2.jpg","The House on Haunted Hollow is a charming holiday story about four mischievous friends who learn a valuable lesson after they disobey their parents and go trick-or-treating at a mysterious mansion. This Halloween book has been kid-tested and teacher-approved to ensure that... ","843","thehouseonhauntedhollowhardcover,2","daytonyoung지은이,폭스christopherfox그림","2019-04-30","Y","Y",""
"6365371","9780241449158","38","Ancient Egypt","Ladybird books","","","","","","","747","ancientegypt","ladybirdbooks","","Y","Y",""
"6365372","9780241449240","410","(The) Human body","Ladybird books","","","","","","","747","thehumanbody","ladybirdbooks","","Y","Y",""
"6365373","9791191691023","","니는 내맹쿠로 살지 마래이 - 최종렬 사회학 소설","최종렬 (지은이)","피엔에이월드(PNA World)","","","13800","https://image.aladin.co.kr/product/28424/49/cover/k292835313_1.jpg","생물학적 성의 구분이 아니라 사회적·문화적 의미의 성을 가리키는 젠더로서 남성의 반대편 여성을 주체로 삼고 그들의 삶을 할머니 - 어머니 - 딸, 3대에 걸쳐 들여다본다.","","니는내맹쿠로살지마래이최종렬사회학소설","최종렬지은이","2021-12-16","Y","Y",""
"6365374","9791167740069","","뇌가 좋아하는 공부 사전 - 심리학과 뇌과학에서 찾아낸 공부에 관한 놀라운 사실들","홋타 슈고 (지은이), 오승민 (옮긴이)","어크로스","","05180","","https://image.aladin.co.kr/product/28061/66/cover/e852539573_1.jpg","메이지대 교수이자 다양한 학문 분야의 지식을 융합한 연구로 주목받고 있는 홋타 슈고 교수가 집중력과 기억력 강화, 학습계획 관리와 동기부여에 도움이 될 44가지 공부 지식을 알려준다.","","뇌가좋아하는공부사전심리학과뇌과학에서찾아낸공부에관한놀라운사실들","홋타슈고지은이,오승민옮긴이","2021-09-30","Y","Y",""
"6365375","9791160807158","","혼자서도 잘하는 반려가전 팝니다 - 혐오와 착취는 취급 안 하는 여성 전용 섹스토이숍 유포리아 이야기","안진영 (지은이)","휴머니스트","","05810","","https://image.aladin.co.kr/product/27979/4/cover/e452539175_1.jpg","혐오와 착취는 취급 안 하는 여성 전용 섹스토이숍 유포리아의 우당탕탕 번창기! 20대-여성-CEO인 저자의 섹스토이 사업 과정을 신선하고 익살스러운 에피소드 중심으로 따라간다. 제작부터 마케팅, 소비까지 남성 중심 질서 안에서 돌아가는 섹스토이 산업 속 여성 혐오와 착취를 단계별로 분석하고, 업계에 만연한 부조리를 고발하며, 여성 개인의 성을 존중하는 대안 공동체의 가능성을 짚어본다. 여성의 자위를 자신의 몸을 솔직하게 말하고 아끼고 사랑하는 행위로서의 ‘셀프 케어’라고 정의하며 이에 관한 구체적 사례와 실용 정보를 함께 나눈다.","","혼자서도잘하는반려가전팝니다혐오와착취는취급안하는여성전용섹스토이숍유포리아이야기","안진영지은이","2021-09-27","Y","Y",""
