"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"5186385","9788952986856","1","위태 위태 학생회=Students association","차민이","학산문화사","","07650","3800","https://image.aladin.co.kr/product/67/43/cover/6000193210_1.jpg","초빈곤 초궁색 레시튼 학생회! 가난 탈피를 위해 해결사 노릇까지 감행하는 학생회 멤버들! 하지만 정작 위기에 빠지는 건 그들 자신??","810","위태위태학생회studentsassociation","차민이","2006-07-25","Y","Y","8952986857(1)"
"2388049","9788959191352","1","로맨스 킬러=Romance killer","강도하","애니북스","","07810","16000","https://bookthumb-phinf.pstatic.net/cover/028/851/02885119.jpg?type=m1&udate=20111201","버리지 못한 청춘이 불러들인 치명적 고통!만화가 강도하의 '청춘' 3부작 중 제2부 『로맨스 킬러』 제1권. 40대가 되어가는 남자 'R'의 '버리지 못한 청춘'에 대해 이야기하고 있다. 세상과 사회는 40대에 맞는 체념과 순종을 요구하지만, 뛰고 있는 심장과 로맨스를 버리지 못한 전직 킬러 'R'은 자신도 모르는... ","810","로맨스킬러romancekiller","강도하","2007-04-10","Y","Y","9788959191352(1)"
"2388050","9788959191369","2","로맨스 킬러=Romance killer","강도하","애니북스","","07810","16000","https://bookthumb-phinf.pstatic.net/cover/028/851/02885112.jpg?type=m1&udate=20111201","버리지 못한 청춘이 불러들인 치명적 고통!만화가 강도하의 '청춘' 3부작 중 제2부 『로맨스 킬러』 제2권 완결. 40대가 되어가는 남자 'R'의 '버리지 못한 청춘'에 대해 이야기하고 있다. 세상과 사회는 40대에 맞는 체념과 순종을 요구하지만, 뛰고 있는 심장과 로맨스를 버리지 못한 전직 킬러 'R'은 자신도 모르는... ","810","로맨스킬러romancekiller","강도하","2007-04-10","Y","Y","9788959191369(2)"
"2790158","9788959191376","1-2/","로맨스 킬러=Romance killer","강도하","애니북스","","07810","32000","http://image.aladin.co.kr/product/90/9/cover/895919137x_2.jpg","는 작가가 기획하고 있는 청춘3부작의 두 번째 작품으로, 가 청춘을 비껴가는 20대 후반 젊은이들의 사랑과 미련, 고통스러운 집착을 그려냈다면, 이번에는 나이 40을 앞둔 남자의 차마 '버리지 못한 청춘'을 이야기한다.","810","로맨스킬러romancekiller","강도하","2007-04-10","Y","Y","9788959191376(세트)"
"3560778","9788925802718","2-14 /","마이언 전기:초마여신 전설","원작: 임달영;그림: 정수철","학산문화사","","07650","","","","810","마이언전기초마여신전설","원작임달영그림정수철","","Y","Y","9788925802718 (세트)"
"3563649","9788925214108","","신암행어사 외전","저자: 윤인완,역자: 금정","대원씨아이","","07650","4200","https://image.aladin.co.kr/product/96/37/cover/8925214105_1.jpg","산도 춘향의 정체는 선녀였다?! 쥬신 최강을 이룩한 검사, 원술의 슬픈 과거문수와 죽은 연인 계월향, 그리고 국왕이 된 해모수의 만남. 이것은 또다른 암행어사의 이야기","830","신암행어사외전","저자윤인완,역자금정","2007-07-31","Y","Y","8925214105"
"5186386","9788952989321","2","위태 위태 학생회=Students association","차민이","학산문화사","","07650","3800","https://image.aladin.co.kr/product/68/44/cover/8952989325_1.jpg","초빈곤 초궁색 레시튼 학생회!그들을 위기에 빠뜨리는 란의 등장!어리버리 신기루 회장은 이 위기를 잘 넘어갈 수 있을까?","810","위태위태학생회studentsassociation","차민이","2006-09-04","Y","Y","8952989325(2(완결))"
"5186664","9788925802701","","마이언 전기:초마여신 전설","원작: 임달영;그림: 정수철","학산문화사","","07650","3800","","","810","마이언전기초마여신전설","원작임달영그림정수철","2007","Y","Y","9788925802701"
"5186913","9788925813530","07","카야 :시공초월 매혹 판타지","저자: 신일숙","한국만화출판협회","","07650","1500","","","810","카야시공초월매혹판타지","저자신일숙","20082009","Y","Y","9788925813530(Vol.07)"
"5186914","9788925816746","08","카야 :시공초월 매혹 판타지","저자: 신일숙","한국만화출판협회","","07650","1500","","","810","카야시공초월매혹판타지","저자신일숙","20082009","Y","Y","9788925816746(Vol.08)"
"5186915","9788925822556","09","카야 :시공초월 매혹 판타지","저자: 신일숙","한국만화출판협회","","07650","1500","","","810","카야시공초월매혹판타지","저자신일숙","20082009","Y","Y","9788925822556(Vol.09)"
"5186923","9788925813578","01","영혼의 사냥꾼 =Soul hunter","저자: 조원행","한국만화출판협회","","07650","1500","","","810","영혼의사냥꾼soulhunter","저자조원행","2008","Y","Y","9788925813578(Vol. 01)"
"5186924","9788925816777","02","영혼의 사냥꾼 =Soul hunter","저자: 조원행","한국만화출판협회","","07650","1500","","","810","영혼의사냥꾼soulhunter","저자조원행","2008","Y","Y","9788925816777(Vol. 02)"
