"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"6362290","9791157874538","","연구·인력개발 및 고용지원에 대한 개인지방소득세 특례의 타당성 평가 ","연구책임: 최진섭","KILF(한국지방세연구원)","","93320","","","","","연구인력개발및고용지원에대한개인지방소득세특례의타당성평가","연구책임최진섭","","Y","Y",""
"6362291","9791160195682","","산림치유지도사 대상 산림치유 항노화 자원 활용서 ","집필인: 박수진","국립산림과학원","","93520","","","","","산림치유지도사대상산림치유항노화자원활용서","집필인박수진","","Y","Y",""
"6362292","9791190505079","","Korea mineral information 2019 ","[edited by Hyunbock Lee, Yujeong Kim]","","","95460","","","","","koreamineralinformation2019","editedbyhyunbocklee,yujeongkim","","Y","Y",""
"6362293","9791157874514","","코로나19 관련 소상공인·자영업자에 대한 지방세 지원방안 :","연구책임: 하능식","KILF(한국지방세연구원)","","93320","","","","","코로나19관련소상공인자영업자에대한지방세지원방안","연구책임하능식","","Y","Y",""
"6362294","9791188882595","","카다실 질환 안내서 ","저자: 최재철","제주대학교병원 희귀질환 제주권역 거점센터","","93510","","","","","카다실질환안내서","저자최재철","","Y","Y",""
"6362295","9791185378459","","이상기선생 기증도편 자료집 :","한국도자재단 경기도자박물관 [편]","한국도자재단 경기도자박물관","","93630","","","","","이상기선생기증도편자료집","한국도자재단경기도자박물관편","","Y","Y",""
"6362296","9791190383080","","2021 한눈에 보는 우리동네 치매자원 안내책자 ","세종광역치매센터 [편]","세종광역치매센터","","13000","","","","","2021한눈에보는우리동네치매자원안내책자","세종광역치매센터편","","Y","Y",""
"6362297","9791190454131","","禮山 大支里遺蹟 =","執筆: 서정일","기남문화재연구원","","93910","","","","","","서정일","","Y","Y",""
"6362298","9791191116618","","자연법칙 위배 발명 심사실무 및 민원처리가이드 ","집필: 최진환","특허청 기계금속기술심사국 동력기술연구회","","13500","","","","","자연법칙위배발명심사실무및민원처리가이드","집필최진환","","Y","Y",""
"6362299","9791155561973","","투르크-알타이 경제권 지역 동향과 진출전략 ","한국외국어대학교 중앙아시아연구소 신흥지역연구사업단 편","한국외국어대학교 중앙아시아연구소 신흥지역연구사업단","","93910","","","","","투르크알타이경제권지역동향과진출전략","한국외국어대학교중앙아시아연구소신흥지역연구사업단편","","Y","Y",""
