"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"3251548","9784478374009","","ブランド戰略シナリオ=コンテクスト·ブランディング/Context branding","阿久津聰;石田茂 [共]著","ダイヤモンド社","","","33040","https://bookthumb-phinf.pstatic.net/cover/063/965/06396596.jpg?type=m1&udate=20110412","","326.162","contextbranding","","2002-07-01","Y","Y","4478374007:"
"3251549","9784495638818","","ブランド價値共創=Brand planning & brand building","和田充夫 著","同文館出版","","","","","","326.162","brandplanningbrandbuilding","","","Y","Y","4495638815:"
"3251558","9784794421302","","マーケティング・ナレッジ=Marketing knowledge","岩本俊彦 著","創成社","","","","","","326.16","marketingknowledge","","","Y","Y","4794421303:"
"2391803","9788989232254","","(만화로 보는)결혼이야기","배수원 글·그림","청어","","03810","7800","https://bookthumb-phinf.pstatic.net/cover/001/097/00109774.jpg?type=m1&udate=20140422","이 책은 그동안 Daum 사이트에 연재된 '만화로 보는 결혼이야기'를 묶어낸 것이다. 시댁과 위층, 아래층에 살고 있는 결혼 4년차의 맞벌이 주부인 저자는 현실과 분리되지 않은, 생활 속의 부부 이야기를 만화로 엮어 냈다.","332.22","만화로보는결혼이야기","배수원글그림","2002-07-20","Y","Y","8989232252"
"3425090","9788948043556","","(농산물 소득조사 데이터를 활용한) 2016 농산업 경영혁신 아이디어 경진대회 발표자료집 ","농촌진흥청 [편]","농촌진흥청 기술협력국 농산업경영과","","93520","","","","522.31","농산물소득조사데이터를활용한2016농산업경영혁신아이디어경진대회발표자료집","농촌진흥청편","","Y","Y","9788948043556"
"3498011","9791170237822","","한국사 :스파르타 기본 500제 ","PMG 공무원 연구소,조민주 공편저","박문각출판","","13910","12000","https://bookthumb-phinf.pstatic.net/cover/114/432/11443281.jpg?type=m1&udate=20161223","그동안 시험에 출제되었던 여러 유형의 문제들 중 필수 문제만을 엄선하여 총 500문제에 걸쳐 정리하였다. 또한 ‘정답 및 해설’에서는 명쾌한 답과 해설을 제시하여 수험 준비에 도움이 될 것이다. 『2017 한국사 스파르타 기본 500제』를 통해 합격의 꿈을 이루시길 바란다.","911.0077","한국사스파르타기본500제","pmg공무원연구소,조민주공편저","2017-01-10","Y","Y","9791170237822"
"2815208","9788974183301","","마키아벨리 군주론 ","니콜로 마키아벨리 지음 ;신동준 옮김","인간사랑","","03340","15000","http://image.aladin.co.kr/product/4725/80/cover/8974183307_1.jpg","이탈리아어 원문과 비교할 때 뉘앙스가 다른 번역이 다수 눈에 띄었다. 최근 이탈리아어 원문에 가깝게 번역했다고 공언한 번역본도 상황은 마찬가지이다. 말만 그럴 뿐 사실은 영역본을 저본으로 삼은 게 아닌가 하는 의구심을 낳는 대목이다.","340.265","마키아벨리군주론","니콜로마키아벨리지음신동준옮김","2014-10-20","Y","Y","9788974183301"
"2612828","9788966071128","","마르크스 ","글: 코린 마이에르 ;옮긴이: 권지현","거북이북스","","07100","13800","http://image.aladin.co.kr/product/4685/81/cover/8966071120_1.jpg","마르크스의 삶을 속속들이 들여다보면서 그의 학문적 업적과 파란만장한 일생을 드라마틱하게 엮어낸다. 19세기 유럽을 배경으로 한 인문교양학적인 정보와 혁명적 인간에 대한 탐구를 미적, 문학적 완성도가 높은 고급만화로 그려냈다.","165.55","마르크스","글코린마이에르옮긴이권지현","2014-09-30","Y","Y","9788966071128"
"2623197","9788992114998","","마르크스의 마지막 여행 ","한스 위르겐 크뤼스만스키 지음 ;김신비 옮김","말글빛냄","","03100","12000","http://image.aladin.co.kr/product/5519/53/cover/8992114990_1.jpg","인간 마르크스에 초점을 맞춘 책. 이 책은 다른 세상의 경험을 통해 느끼는 감정을 소설처럼 엮어 마치 한 편의 영화를 보는 것처럼 진한 여운을 남긴다. '런던에서 지중해로', '알제', '몬테카를로와 카지노 자본주의', '다시 런던으로, 그리고 그 이후' 등으로 구성되어 있다.","340.245099","마르크스의마지막여행","한스위르겐크뤼스만스키지음김신비옮김","2015-04-17","Y","Y","9788992114998"
"2779537","9788955066357","","흑인의 모성 ","김미아 지음","동인","","93840","11000","http://image.aladin.co.kr/product/4905/52/cover/895506635x_1.jpg","『흑인의 모성』은 토니 모리슨의 작품 속 인물을 통해 흑인의 문제점을 흑인 여성과 자녀 간의 관계에서 드러난 모성과 대상관계 속에서 살펴본 연구서이다. 저자는 흑인 어머니들의 온전성을 억압하는 요인들로써 서구의 이분법적 사고, 가부장제, 그리고 강제된 모성에 주목하고 이에 대한 반응으로 나타난... ","843.5","흑인의모성","김미아지음","2014-11-15","Y","Y","9788955066357"
