"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"2366069","9788997160525","","(만점) 한국사 :경찰시험 완벽대비서 ","장태산 편저","에이티젯 경찰교육","","13910","30000","","","911.0077","만점한국사경찰시험완벽대비서","장태산편저","","Y","Y","9788997160525"
"2366071","9788996132790","","MFC and Visaul[실은 Visual] C++ ","조민호,최태영 공저","피엔포드","","93500","25000","","","005.137","mfcandvisaul실은visualc","조민호,최태영공저","","Y","Y","9788996132790"
"2366097","9788944983665","","东亞의 국보·보물 =개교 68주년기념 특별전 /National treasures and treasures in the Seokdang museum of Dong-A university ","동아대학교 석당박물관 [편]","동아대학교석당박물관","","06650","35000","","","069.0911","의국보보물개교68주년기념특별전nationaltreasuresandtreasuresintheseokdangmuseumofdongauniversity","동아대학교석당박물관편","","Y","Y","9788944983665"
"2366117","9791195377114","","3차원 모델링 및 도화 ","위광재,김윤형 저","3D융합산업협회","","","20000","","","004.7607","3차원모델링및도화","위광재,김윤형저","","Y","Y","9791195377114:"
"2366119","9791195377121","","BIM 및 GIS 이해와 활용 ","위광재,이강원 공저","3D융합산업협회","","13540","20000","","","980.027","bim및gis이해와활용","위광재,이강원공저","","Y","Y","9791195377121"
"2366141","9788998289256","","전라북도 중등교원 연수 활성화 방안 ","연구총괄: 차상철 ;오문환","전라북도교육연구정보원 전북교육정책연구소","","93370","","","","371.37","전라북도중등교원연수활성화방안","연구총괄차상철오문환","","Y","Y","9788998289256"
"2366186","9788994585246","","2014 Knowledge update of foot and ankle ","대한족부족관절학회 [편]","대한족부족관절학회","","93510","40000","","","514.986","2014knowledgeupdateoffootandankle","대한족부족관절학회편","","Y","Y","9788994585246"
"2366238","9791156171935","","제갈공명 행정학 기출 2300제 :9급·7급 ","강제명","에스티앤북스","","13350","30000","https://bookthumb-phinf.pstatic.net/cover/082/765/08276508.jpg?type=m1&udate=20170708","파트마다 기본적으로 보아야 할 내용을 간략하게 정리한 후, 대표적인 문제에서 충실하게 해설을 달았고, 관련문제들에서 확인하는 형태로 구성되어 있다. 어렵거나 정리가 필요한 내용은 박스 해설을 통해 교재를 확인하지 않고도 정리할 수 있도록 했다.","350.077","제갈공명행정학기출2300제9급7급","강제명","2014-10-30","Y","Y","9791156171935"
"2366268","9788992069304","","우리마을 만들기 :서울시 주민참여형 재생사업 백서 ","집필: 정종대,정석","서울특별시","","13330","10000","https://bookthumb-phinf.pstatic.net/cover/071/870/07187025.jpg?type=m1&udate=20130615","『우리마을 만들기』는 마을 만들기 시작, 서울시 마을만들기의 추진사례, 새롭게 시작하는 주민 참여형 재생사업, 밖에서 보는 마을 만들기로 구성되어 있는 책이다.","309.2116","우리마을만들기서울시주민참여형재생사업백서","집필정종대,정석","2013-03-01","Y","Y","9788992069304"
"2366293","9791195308002","","D+ wound solution ","지은이: 신동혁,황지현","CGBIO(시지바이오)","","93510","","","","514.251","dwoundsolution","지은이신동혁,황지현","","Y","Y","9791195308002"
