"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"6291257","9791188171347","","(경주 교동 82-2번지 근린생활시설 신축부지 내) 경주 교동 82-2번지 유적 =The ancient site at 82-2 Gyodong, Gyeongju ","집필·편집자: 오승연,조민경","화랑문화재연구원","","93910","","","","911.85","경주교동822번지근린생활시설신축부지내경주교동822번지유적theancientsiteat822gyodong,gyeongju","집필편집자오승연,조민경","","Y","Y",""
"6290460","9791188171316","","경주 남산가는 길 주변 조경정비사업부지 내 유적 =The ancient site at 196-1 Gyodong, Gyeong-ju ","집필·편집자: 오승연,손준호","화랑문화재연구원","","93910","","","","911.85","경주남산가는길주변조경정비사업부지내유적theancientsiteat1961gyodong,gyeongju","집필편집자오승연,손준호","","Y","Y",""
"6064542","9791185121338","","오늘의 나를 안아주세요 :날마다 욕구 명상, 비폭력대화로 연습하는 자기 돌봄 100일 ","이윤정 지음","한국NVC출판사","","03190","20000","https://image.aladin.co.kr/product/27566/13/cover/k302733018_1.jpg","국제평화단체인 비폭력대화센터(CNVC) 공인 트레이너이자 한국비폭력대화센터 부대표, 한국비폭력대화교육원 대표를 역임한 이윤정 작가의 두 번째 책이 10년 만에 출간되었다.","186.5","오늘의나를안아주세요날마다욕구명상,비폭력대화로연습하는자기돌봄100일","이윤정지음","2021-07-20","Y","Y",""
"6289263","9791187849360","","(기생충학자) 채종일 교수의 글모음 :삶 그리고 이야기 ","지은이: 채종일","지누","","03810","15000","https://bookthumb-phinf.pstatic.net/cover/208/617/20861784.jpg?type=m1&udate=20210819","? ‘세상에 이런 기생충이!’ ? ‘기생충을 약으로 먹는다?’ ... 알면 알수록 기상천외한 기생충의 세계“아니, 당신 이게 뭐예요? 이걸 왜 가져가는 거죠?”평소 체력도 그리 강하지 않은 남편이 외국에 나가면서 콘돔을 잔뜩 챙기자 그의 아내가 펄쩍 뛴다. 기생충학자인 남편이 ‘콘돔은 기생충이나 중간숙주를... ","818","기생충학자채종일교수의글모음삶그리고이야기","지은이채종일","20210811","Y","Y",""
"6333720","9791138308526","","요양보호사 =최종모의고사 /Care worker ","편저: 이문식","시대고시기획","","13510","18000","https://image.aladin.co.kr/product/28172/13/cover/k832835565_1.jpg","요양보호사 시험의 응시자 대부분은 중년층 이상으로, 평소에 작은 활자 크기의 도서로 학습하면서 불편을 겪었을 것이다. 본서는 그러한 고충을 덜어드리고자 글자를 크게 편집하여 내용이 시원하게 눈에 들어오면서 편안하게 학습이 가능하다.","338.6077","요양보호사최종모의고사careworker","편저이문식","2022-01-05","Y","Y",""
"6364328","9791191558111","","말랑말랑 뇌 운동 :치매를 예방하는 하루 1장 ","글쓴이: 김춘희 ;그린이: 이윤교","북센스","","","","","","513.898","말랑말랑뇌운동치매를예방하는하루1장","글쓴이김춘희그린이이윤교","","Y","Y",""
"1040481","9788990106643","","누가 누구를 대표할 것인가 :국민주권 실현을 위한 정치제도 설계 ","문우진 지음","후마니타스","","03300","13000","http://image.aladin.co.kr/product/226/91/cover/8990106648_1.jpg","해외로 간 글로벌 기업 삼성은 어떤 모습인가? 현지 국가의 정치 경제와 어떤 관계를 맺고 있으며 노동자들의 권리는 제대로 보장하고 있는가? 비민주적인 정권과 분쟁으로 얼룩진 나라에서 개발 과정이야 어떻든 자원만 얻어오면 되는가? 등을 묻고 답한다.","340.22","누가누구를대표할것인가국민주권실현을위한정치제도설계","문우진지음","2008-06-20","Y","Y","9788990106643"
"6045841","9791185253879","","무작정 독일 :연극 공부하러 독일 갔다 세상 공부하고 돌아왔다 ","글·사진: 김세운","민중의소리","","03680","15000","https://image.aladin.co.kr/product/27504/33/cover/k012733097_1.jpg","김세운 연극전문기자가 쓴 &lt;무작정 독일&gt;은 저자가 연극 공부하러 독일에 다녀온 이야기다. 독일 유학을 준비하는 사람들, 독일에 장기체류하면서 유럽의 문화예술을 느끼고 싶은 사람들에 매우 유익한 지침서다.","818","무작정독일연극공부하러독일갔다세상공부하고돌아왔다","글사진김세운","2021-07-06","Y","Y",""
"6088123","9788961849791","","일본 근세성곽과 왜성의 이해 ","지은이: 김영식","어문학사","","93910","20000","https://image.aladin.co.kr/product/27861/14/cover/8961849794_1.jpg","왜성은 한반도와 일본을 이어주는 역사적 사료로서 한일과거사를 재조명하는 역사적 구조물이다. 본책에서는 일본 침략을 입증하는 증거물인 왜성의 일반적인 개념을 익히고 현장에서 답사한 모습과 구조를 살핀다. 조선 백성들이 동원되어 건축된 왜성을 살펴봄으로써 일본 침략의 역사를 되짚어 본다.","549.1","일본근세성곽과왜성의이해","지은이김영식","2021-08-31","Y","Y",""
"6291107","9788961849784","","삶과 철학 이야기 =A story of life and philosophy ","변순용 지음","어문학사","","03100","16000","https://image.aladin.co.kr/product/27812/71/cover/8961849786_1.jpg","서울교육대 변순용 교수가 인간으로 존재하면서 던져지는 물음에 고민할 수밖에 없는 사유를 정리한 것이다.","100","삶과철학이야기astoryoflifeandphilosophy","변순용지음","2021-08-27","Y","Y",""
