"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"3803535","9788955311167","하","상법강의","박헌목 지음","신지서원","","94360","20000","https://image.aladin.co.kr/product/58/55/cover/8955311168_1.jpg","상법 규정의 다섯 편을 중심으로 상권과 하권으로 편제를 나누어 학생들이 알기 쉽게 꾸미도록 하고 장황한 내용은 생략하였으며, 관련 내용을 이해하기 쉽도록 판례를 가능한 한 많이 가미하도록 하고 상법 조문을 교재에 삽입하였다.","366","상법강의","박헌목지음","2005-09-01","Y","Y","8955311168(하)"
"168736","9788995159699","","(고등학교)인터넷 윤리","강진자;천광호 [공]지음","한국교과서","","93000","","","","004.5073","고등학교인터넷윤리","강진자천광호공지음","","Y","Y","8995159693"
"168745","9788995159668","","(고등학교)인터넷 검색","허용도;김진수 [공]지음","한국교과서","","93000","","","","004.575","고등학교인터넷검색","허용도김진수공지음","","Y","Y","8995159669"
"838242","9788979715804","","(만화, 라이딩테크닉)타! 타! 타!","つじ·つかさ;이순수 編譯","골든벨","","13690","15000","https://bookthumb-phinf.pstatic.net/cover/015/009/01500977.jpg?type=m1&udate=20130220","초보자라도 아니 초보자이기에 이것만큼은 꼭 알아주었으면 하는 마음으로, 이제 막 바이크를 타기 시작한 라이더들이 안전하게, 좀더 즐겁게 바이크를 탈 수 있도록 만화와 함께 편성한 초보자용 입문서. ","556.775","만화,라이딩테크닉타타타","이순수","2010-01-10","Y","Y","8979715803"
"838282","9788935912612","","회사라는 이상한 나라에서 사는 법","시바타 히데토시 지음;강영숙 옮김","신원문화사","","03320","10000","https://bookthumb-phinf.pstatic.net/cover/015/275/01527506.jpg?type=m1&udate=20130704","많은 사람들이 샐러리맨이나 공무원으로 일하고 있다. 소위 월급쟁이로 불리는 사람들이다. 의사 결정의 권한이 몹시 적게 느껴지는 것은 그리 유쾌한 일이 아니다. 하지만 경영자라 하더라도 정신적으론 월급쟁이와 별다를 바 없는 사람들도 많이 있다. 그렇다면 사고방식이나 행동, 돈을 버는 일에 자신이... ","325.04","회사라는이상한나라에서사는법","시바타히데토시지음강영숙옮김","2005-03-18","Y","Y","8935912611"
"838302","9788975603105","","좋은 프로그래밍 습관","여인춘 지음","길벗","","03000","16800","https://bookthumb-phinf.pstatic.net/cover/015/349/01534997.jpg?type=m1&udate=20150818","초보 프로그래머들이 프로그래밍 전문가로 거듭나는 데 도움이 되는 61가지 좋은 프로그래밍 습관을 소개한다. 초보 개발자들이 자주하는 실수의 내용이 무엇인지를 먼저 짚어주고, 이러한 문제점을 수정한 고수 프로그래머의 코드를 함께 보여줌으로써 초보들이 어떤 부분이 부족한지 스스로 판단할 수 있도록 도와주고 있다.","005.1","좋은프로그래밍습관","여인춘지음","2005-04-08","Y","Y","8975603105"
"838319","9788987038568","","2번째 키스","기쿠치 칸 지음;오석윤 옮김","개미","","03830","8500","https://bookthumb-phinf.pstatic.net/cover/001/515/00151570.jpg?type=m1&udate=20130629","일본의 근대문학을 대표하는 극작가이며 소설가인 기쿠치 칸의 장편소설. 1925년 7월에 시작하여 약 3-4개월 동안에 도쿄 아사히와 오사카 아사히에 연재되었던 것으로, 당시 상당한 인기를 누렸던 신문연재 소설이다. 사랑에 대한 순수함을 주제로 다르면서 단순한 슬픔이나 해피엔딩과는 다소 차이가 나는... ","833.6","2번째키스","기쿠치칸지음오석윤옮김","2004-05-20","Y","Y","8987038564"
"838320","9788995625705","1","(초등)재미있는 한자 학습","장희구 저","21C 미래교육","","64710","3800","","","711.4","초등재미있는한자학습","장희구저","","Y","Y","8995625708(1단계)"
"5026461","9788995625712","2","(초등)재미있는 한자 학습","장희구 저","21C 미래교육","","64710","4000","","","711.4","초등재미있는한자학습","장희구저","2005","Y","Y","8995625716(2단계)"
"5026462","9788995625729","3","(초등)재미있는 한자 학습","장희구 저","21C 미래교육","","64710","4300","","","711.4","초등재미있는한자학습","장희구저","2005","Y","Y","8995625724(3단계)"
"5026463","9788995625736","4","(초등)재미있는 한자 학습","장희구 저","21C 미래교육","","64710","4300","","","711.4","초등재미있는한자학습","장희구저","2005","Y","Y","8995625732(4단계)"
"5026464","9788995625743","5","(초등)재미있는 한자 학습","장희구 저","21C 미래교육","","64710","4300","","","711.4","초등재미있는한자학습","장희구저","2005","Y","Y","8995625740(5단계)"
"5026465","9788995625750","6","(초등)재미있는 한자 학습","장희구 저","21C 미래교육","","64710","4300","","","711.4","초등재미있는한자학습","장희구저","2005","Y","Y","8995625759(6단계)"
"838333","9788985145909","상, 하/","(소설)풍신수길","시바 료타로 지음;권순만 옮김","에디터","","04830","","","","833.6","소설풍신수길","시바료타로지음권순만옮김","","Y","Y","8985145908(전2권)"
"838339","9788971992074","","이탁오 평전","옌리에산;홍승직 역","돌베개","","03990","28000","https://bookthumb-phinf.pstatic.net/cover/015/362/01536260.jpg?type=m1&udate=20141130","기성의 지식을 전복하고 지식인의 위선을 까발린 이탁오의 사상과 그의 비극적인 생애를 총체적으로 조망해 들어가는 책. 평전의 저자들은 '학술성의 원칙 견지'와 '봉건 전제에 반대했던 투사이자 사상 해방의 선구자로서 이탁오 발굴' 이란 두 가지의 원칙을 두고 이탁오의 구체적인 삶의 국면과 자유로운 정신을 엄밀하게 성찰해낸다.","152.5099","이탁오평전","옌리에산홍승직역","2005-04-15","Y","Y","8971992077"
"838343","9788991573017","","(8840)HSK 단어집:HSK용 8,840 단어완전정복","潘憶影 지음;고단단 [공]옮김","차이나프레스","","13720","16000","https://bookthumb-phinf.pstatic.net/cover/015/279/01527903.jpg?type=m1&udate=20130603","HSK 단어집 8840. 이 책은 &lt;&lt;한어수준어휘와 한자등급대강&gt;&gt; 2001년 수정본을 기본 내용으로 하였으며, 중국어와 한자를 학습하는 외국 학생들을 위하여 편찬되었다. 중국어 어휘와 한자 학습 정도를 측정할 수 있고, 또한 중국어 어휘 형태와 한자 자형의 이해정도도 측정할 수 있다.이 책의 주요... ","724.03","8840hsk단어집hsk용8,840단어완전정복","지음고단단공옮김","2005-03-15","Y","Y","8991573010"
"838864","9788984332713","","퇴계학맥의 지역적 전개","퇴계연구소 편","보고사","","93810","32000","https://bookthumb-phinf.pstatic.net/cover/015/016/01501600.jpg?type=m1&udate=20130704","지역적으로 광범위하게 분포된 퇴계학맥의 전개 양상을 살펴보며 퇴계학맥을 종합적으로 고찰한 연구서. 우리 중세 문화의 골간을 형성한 퇴계학맥을 심도 있게 서술하고 있다. 퇴계학파의 전국적 분포를 검토하기 위해 '퇴계학파의 지역적 전개'라는 주제로 2000년부터 4년에 걸쳐 개최된 학술대회 성과물을... ","151.53","퇴계학맥의지역적전개","퇴계연구소편","2004-12-30","Y","Y","8984332712"
"838885","9788941322276","","경계 경보","제니 런던 지음;정미니 옮김","신영미디어","","02840","6500","https://bookthumb-phinf.pstatic.net/cover/015/182/01518200.jpg?type=m1&udate=20130612","훔친 것은 키스뿐?10년 전, 도둑인 아버지를 따라 숨어들어갔다가 만난 제이크와 뜨거운 키스를 나눈 맬러리. 그 키스는 그녀의 운명을 바꾸어 놓았다. 그러나 아버지를 감옥에 보낸 원수라는 생각에, 맬러리는 다시 만난 그를 용서할 수 없다. 복수를 계획한 그녀는 제이크를 유혹하지만 오히려 빠져드는 것은... ","843","경계경보","제니런던지음정미니옮김","2005-03-12","Y","Y","8941322278"
"838949","9788931430769","","(확달라진 2005)정보처리기사=실기 Visual Basic 특별대비/Information processing engineer","전천우 저","영진닷컴","","13000","16000","https://bookthumb-phinf.pstatic.net/cover/015/069/01506956.jpg?type=m1&udate=20060227","최신 출제 경향을 분석해 구성한 2005년판 정보처리기사 VIsual Basic 실기 대비 수험서. 기출문제를 철저히 분석하여 출제 경향에 완벽히 대비할 수 있도록 자세한 해설과 쉽고 빠르게 준비할 수 있는 응용방법 등을 철저히 분석하였으며, 다양한 난이도의 모의고사를 다회 수록됨으로써 심화학습이 가능하다.","004.077","확달라진2005정보처리기사실기visualbasic특별대비informationprocessingengineer","전천우저","2005-02-05","Y","Y","8931430760"
"838972","9788946782785","","현대영어:교양편","이석장 편저","학문사","","93740","14000","","","747.4","현대영어교양편","이석장편저","","Y","Y","8946782781"
"2384823","9788985145916","상","(소설)풍신수길","시바 료타로 지음;권순만 옮김","에디터","","04830","9000","https://bookthumb-phinf.pstatic.net/cover/015/335/01533589.jpg?type=m1&udate=20130704","120여년에 걸친 일본의 전국시대를 통일로 이끌며 민중속에서 성장한 영웅 '풍신수길(도요토미 히데요시)'의 일생을 그린 소설이다. 무장으로서의 호쾌한 기질와 소탈한 인간적 매력을, 작가 시바 료타료의 감각적인 문체로 풀냈다.","833.6","소설풍신수길","시바료타로지음권순만옮김","2005-04-10","Y","Y","8985145916(상)"
"2384824","9788985145923","하","(소설)풍신수길","시바 료타로 지음;권순만 옮김","에디터","","04830","9000","https://bookthumb-phinf.pstatic.net/cover/015/335/01533591.jpg?type=m1&udate=20130704","120여년에 걸친 일본의 전국시대를 통일로 이끌며 민중속에서 성장한 영웅 '풍신수길(도요토미 히데요시)'의 일생을 그린 소설이다. 무장으로서의 호쾌한 기질와 소탈한 인간적 매력을, 작가 시바 료타료의 감각적인 문체로 풀냈다.","833.6","소설풍신수길","시바료타로지음권순만옮김","2005-04-10","Y","Y","8985145924(하)"
"838973","9788980773206","","(지평)국어","최지평 편저","고시학회21","","13360","29000","https://bookthumb-phinf.pstatic.net/cover/014/768/01476882.jpg?type=m1&udate=20071117","7.9급 공무원 공체 '국어'시험에 대비한 수험서. 각 단원별 학습 중점 사항을 정리, 체계화하여 단원별 학습 내용을 한눈에 확인 할 수 있도록 구성하였으며 최근 기출문제의 단원별 유형별 분석을 통하여 문제의 변모양상을 파악하고 해결 전략을 제시하였다. 또한 고유어와 속담, 주요 한자어, 순화 시켜야할... ","710","지평국어","최지평편저","2005-01-15","Y","Y","898077320X"
"838987","9788982072062","","통계학=Statistics","문덕중 저","文英社","","93320","23000","https://bookthumb-phinf.pstatic.net/cover/002/855/00285549.jpg?type=m1&udate=20140222","전산통계의 통계학에 대해 소개한다","413.8","통계학statistics","문덕중저","2004-02-25","Y","Y","8982072063"
"839010","9788931430707","","(2005)워드프로세서=2급 필기 스피드 총정리/Wordprocessor","송재현;영진정보연구소 공저","영진닷컴","","13000","9000","https://bookthumb-phinf.pstatic.net/cover/015/023/01502306.jpg?type=m1&udate=20130125","보다 빠르게 정리하는 시험전 마무리. 핵심적인 내용을 별도의 소책자로 구성하고, 기초알기, 실력쌓기, 합격하기 순으로 구성된 단계별 모의고사 20회분과 최신 기출문제 2회분을 수록했다.","325.57077","2005워드프로세서2급필기스피드총정리wordprocessor","송재현영진정보연구소공저","2005-01-30","Y","Y","8931430701"
