"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"2261103","9788952607461","","(Focus) 도마위의 경찰학개론 ","공저자: 박상규,임화성","서울고시각","","13350","34000","http://image.aladin.co.kr/product/87/39/cover/8952607465_1.jpg","새로운 출제경향에 맞춘 내용과 개정된 관련법규, 경찰청 훈령을 보완해 실었다. 최근 기출문제 수록.","350.7077","focus도마위의경찰학개론","공저자박상규,임화성","2008-01-20","Y","Y","9788952607461"
"2261110","9788952608031","","주택관리사(보) 2차 주택관리실무 ","공편자: 이승곤,홍진관","서울고시각","","13610","28000","http://image.aladin.co.kr/product/103/19/cover/8952608038_1.jpg","- 시행처 : 건설교통부 - 세부 독자대상 : 주택관리사 2차 수험준비생 - 학습난이도 : 처음 공부하는 수험준비생도 쉽게 이해할 수 있음 - 특징 : 기본이론 + SPEED CHECKING + 기출문제 + 예상문제 2008년 제11회부터 바뀌는 출제경향에 맞춘 기본이론을 담고 있다. SPEED CHECKING을 통해 학습한 내용을... ","596.1","주택관리사보2차주택관리실무","공편자이승곤,홍진관","2008-01-10","Y","Y","9788952608031"
"2261111","9788952609052","","주택관리사(보) 최종모의고사 1차 :모의고사+기출문제 ","박종문,장병호","서울고시각","","13610","25000","https://bookthumb-phinf.pstatic.net/cover/046/847/04684701.jpg?type=m1&udate=20141211","- 세부 독자대상 : 주택관리사 시험 준비생- 학습난이도 : 기본서를 이미 공부한 수험생들이 최종 마무리하기에 적당- 구성 : 모의고사 + 기출문제(각 과목 40문항씩 10회분 수록)한국산업인력공단 예상 출제경향을 분석하고, 공고일 현재 개정법령과 이론을 반영한 최신 모의고사 문제집. 엄선된 문제와 상세한... ","596.077","주택관리사보최종모의고사1차모의고사기출문제","박종문,장병호","2008-07-15","Y","Y","9788952609052"
"2261119","9788952608697","","주택관리사(보) 최근 기출문제해설집 ","공편자: 박종문,이승곤","서울고시각","","13610","16000","http://image.aladin.co.kr/product/197/75/cover/8952608690_1.jpg","2008년 주택관리사 기출문제해설집. 제6회~제10회 기출문제를 수록하고, 제10회 40문항 기출문제를 해설하였다.","596.077","주택관리사보최근기출문제해설집","공편자박종문,이승곤","2008-03-30","Y","Y","9788952608697"
"2261198","9788978122160","","New materials + design ","저자: 진성모","국민대학교 출판부","","93630","","","","639.5","newmaterialsdesign","저자진성모","","Y","Y","9788978122160"
"2261212","9788960613089","","토끼의 재판 ","글쓴이: 방정환 ;그린이: 신예분","글뿌리","","74800","","","","710","토끼의재판","글쓴이방정환그린이신예분","","Y","Y","9788960613089(세트)"
"2657982","9788960613287","","토끼의 재판 ","글쓴이: 방정환 ;그린이: 신예분","글뿌리","","74800","5550","","","710","토끼의재판","글쓴이방정환그린이신예분","","Y","Y","9788960613287"
"2261263","9788962112504","","OntoFrame과 NDSL 사용성 비교평가 ","김도완,한선화","한국과학기술정보연구원","","93560","","","","566.874","ontoframe과ndsl사용성비교평가","김도완,한선화","","Y","Y","9788962112504"
"122743","9788983238009","1 - 2/","FTA체결에 따른 남북한관련 국내법제의 개선방안 연구 :FTA 적용영역과 개성공단 제품 원산지 문제를 중심으로 =How to amend domestic laws on the South-North Korean relationship, pursuant to the conclusion of FTAs : focusing on the scope of application clauses of FTAs and the issue of rules of origin of products manufactured in the Kae-Sung industrial complex ","연구자: 최원목,박찬호","한국법제연구원","","94360","","","","326.29","fta체결에따른남북한관련국내법제의개선방안연구fta적용영역과개성공단제품원산지문제를중심으로howtoamenddomesticlawsonthesouthnorthkoreanrelationship,pursuanttotheconclusionofftasfocusingonthescopeofapplicationclausesofftasandtheissueofrulesoforiginofproductsmanufacturedinthekaesungindustrialcomplex","연구자최원목,박찬호","","Y","Y","9788983238009(세트)"
"2261395","9788991010543","","(서울대 법대생을 만들어낸) 아버지의 특별한 편지 :아버지 한 사람이 백 명의 스승보다 낫다 ","지은이: 송한우,송요훈","글로세움","","03370","10000","http://image.aladin.co.kr/product/257/24/cover/8991010539_2.jpg","자사고인 공주 한일고를 거쳐 서울대 법대 08학번 새내기가 된 아이가 있다. 서울대 법대 새내기가 된 지금은 &lt;영어의 神&gt; 공동저자가 되었고, 공신 3기 멤버가 되었다. 아이의 이름은 송요훈. 산으로 둘러싸인 작은 기숙사 학교에서 3년 동안 요훈이를 '공부 외길'로 이끌어준 것은 무엇이었을까.","373.4","서울대법대생을만들어낸아버지의특별한편지아버지한사람이백명의스승보다낫다","지은이송한우,송요훈","2008-09-16","Y","Y","9788991010543"
"2261390","9788957820698","","끈질긴 경영 =도요타처럼 끈질기고 캐논처럼 지속하라 /Persistence management ","엔도 이사오 지음 ;김광희 옮김","국일증권경제연구소","","13320","13800","http://image.aladin.co.kr/product/284/13/cover/8957820698_1.jpg","오랫동안 기업을 지속하기 위한 집념의 경영!이 책은 캐논, 세븐일레븐, 도요타, 리츠칼튼 호텔, 카오 등 몇 십년 동안 자신의 위치를 지키며 꾸준히 성장하고 있는 기업들의 사례를 통해 '비즈니스에 작용하는 끈질김의 저력'을 확인한다. 2006년과 2007년에 국내에 번역 소개된『경영자의 현장력』과... ","325.1","끈질긴경영도요타처럼끈질기고캐논처럼지속하라persistencemanagement","엔도이사오지음김광희옮김","2008-11-28","Y","Y","9788957820698"
"2898717","9788983238696","","FTA체결에 따른 남북한관련 국내법제의 개선방안 연구 :FTA 적용영역과 개성공단 제품 원산지 문제를 중심으로 =How to amend domestic laws on the South-North Korean relationship, pursuant to the conclusion of FTAs : focusing on the scope of application clauses of FTAs and the issue of rules of origin of products manufactured in the Kae-Sung industrial complex ","연구자: 최원목,박찬호","한국법제연구원","","94360","8000","https://bookthumb-phinf.pstatic.net/cover/052/316/05231654.jpg?type=m1&udate=20141122","FTA 적용 범위와 개성공단 제품 원산지 문제에 한정하여 이들 사항에 관한 FTA 조항의 내용과 성격을 분석한 후, 국제법과 국내법 상의 관련 규정과의 관계를 살펴보고, FTA 남북한관련 조항과 조화를 이루고 이를 발전시켜나가기 위한 법제화 방안을 도출코자 하였다.","326.29","fta체결에따른남북한관련국내법제의개선방안연구fta적용영역과개성공단제품원산지문제를중심으로howtoamenddomesticlawsonthesouthnorthkoreanrelationship,pursuanttotheconclusionofftasfocusingonthescopeofapplicationclausesofftasandtheissueofrulesoforiginofproductsmanufacturedinthekaesungindustrialcomplex","연구자최원목,박찬호","2008-09-30","Y","Y","9788983238696"
"2261413","9788993317039","","LEET 논술 :실전모의고사 ","황남기,김종수 공저","황남기 엠앤비","","14360","18000","http://image.aladin.co.kr/product/239/3/cover/8993317038_1.jpg","- 세부 독자대상 : 로스쿨 법학적성시험(LEET) 시험준비생- 학습난이도 : 기본서를 이미 공부한 수험생들이 보기에 적당- 구성 : 실전모의고사","802","leet논술실전모의고사","황남기,김종수공저","2008-07-17","Y","Y","9788993317039"
"2261444","9788941304999","1,","낸시","지은이: Ernie Bushmiller ;옮긴이: 장원희","신영미디어","","47740","3500","","","747","낸시","지은이erniebushmiller옮긴이장원희","1996-04-30","Y","Y","8941304997(세트)"
"956037","9788972828488","","전공영어 :영어학·영어교육학 =(A) course in English language teaching : English language pedagogy & English linguistics","윤도형 편저","경문사","","94740","","","","740","전공영어영어학영어교육학acourseinenglishlanguageteachingenglishlanguagepedagogyenglishlinguistics","윤도형편저","","Y","Y","8972828483(세트)"
"2261493","9788952607935","","(憲法) 헌법 종합 기출문제집 ","편저자: 채한태","서울고시각","","13360","23000","http://image.aladin.co.kr/product/102/19/cover/8952607937_1.jpg","- 세부 독자대상 : 7급 국가ㆍ지방직 공무원, 법원직 등 수험준비생- 학습난이도 : 이론을 충분히 공부한 수험준비생이 자신의 실력을 최종적으로 점검하는 데 유용함- 특징 : 기출문제 기본서의 핵심이론과 연계하여 문제를 배열했으며, 명쾌한 해설을 담아 혼자서도 쉽게 학습할 수 있도록 구성했다. 최신... ","362.077","헌법종합기출문제집","편저자채한태","2008-01-10","Y","Y","9788952607935"
"2261501","9788952608185","","(객관식) 헌법 ","편저자: 채한태","서울고시각","","13360","30000","http://image.aladin.co.kr/product/170/34/cover/8952608186_1.jpg","- 세부 독자대상 : 7급 국가직, 법원직, 8급 국회직 등 채용ㆍ승진 수험준비생- 학습난이도 : 학습한 내용을 다시 한번 정리하거나 요약시키는 수험준비생에게 적당함- 특징 : 실전문제출제빈도가 높은 실전문제를 엄선하고 단원별로 출제유형에 따라 수록하여 헌법 영역의 전체적인 흐름을 이해할 수 있도록... ","362.077","객관식헌법","편저자채한태","2008-01-25","Y","Y","9788952608185"
"2261506","9788952607928","","주택관리사(보) 1차 민법(물권·채권) ","공편자: 박종문,이중철","서울고시각","","13360","18000","http://image.aladin.co.kr/product/103/19/cover/8952607929_1.jpg","- 시행처 : 건설교통부 - 세부 독자대상 : 주택관리사 1차 수험준비생 - 학습난이도 : 처음 공부하는 수험준비생도 쉽게 이해할 수 있음 - 특징 : 기본이론 + 예상문제 2008년 제11회부터 바뀌는 출제경향에 맞춘 기본이론을 담고 있다. 출제유형에 따라 출제빈도가 높은 예상문제를 엄선하여 수록했다. 명쾌한... ","365","주택관리사보1차민법물권채권","공편자박종문,이중철","2008-01-10","Y","Y","9788952607928"
