"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"385315","9788975946547","1 - 2/","(유우익의 국토기행)장소의 의미","유우익 지음","삶과꿈","","03810","","","","981.1","유우익의국토기행장소의의미","유우익지음","","Y","Y","8975946541(전2권 세트)"
"2578309","9788952740670","1","될 수 있다! 만화가","엔젤 마츠모토 지음;박상희 역","시공사","","03650","7500","http://image.aladin.co.kr/product/51/26/cover/895274067x_1.gif","만화를 그리기 위해 필요한 재료 사용법과 캐릭터, 배경 그리는 법까지 만화의 기초작법을 담은 책. 만화를 직접 그리다 보면 생각했던 것과 달리 뜻대로 되지 않아 고민하는 초보 만화가들을 위해 가장 간단한 문제부터 혼자서는 해결하기 힘든 어려운 문제까지 자세한 설명이 곁들여져 있다.","657.1","될수있다만화가","엔젤마츠모토지음박상희역","2004-08-23","Y","Y","895274067X(Level 1)"
"2393556","9788975946486","1","(유우익의 국토기행)장소의 의미","유우익 지음","삶과꿈","","03810","10000","https://bookthumb-phinf.pstatic.net/cover/012/241/01224144.jpg?type=m1&udate=20130325","서울대 지리학 교수가 그려낸 아름다운 국토 기행 이야기로 2002~2003년 국토를 통해서 본 한국사회 일년간의 종단면을 담고 있다. 국토 구석구석의 의미를 찾아내고자 매주 답사를 하고, 사진도 직접 찍어서 넣은 책으로, '서해낙조-안면도', '봉황이 깃들어 용꿈을 꾸다-여수 오동도', '꿈과 사랑이 있는 바다... ","981.1","유우익의국토기행장소의의미","유우익지음","2004-07-17","Y","Y","8975946487(1)"
"385339","9788985825566","","스포츠 의학:예방·평가·치료·재활","Steven Roy;이주립 역","대한미디어","","93690","26000","http://image.aladin.co.kr/product/24/99/cover/8985825569_1.jpg","다양한 신체활동 및 운동과 포함된 의사, 구급요원, 운동생리학자, 생체 역학자, 트레이너, 물리치료사, 그리고 체육교사를 포함하는 스포츠 의학. 이 책은 주로 운동선수들과 포함된 의사, 트레이너, 물리치료사를 위하여 쓰여졌다. ","517.89","스포츠의학예방평가치료재활","stevenroy이주립역","2003-09-18","Y","Y","8985825569"
"2433834","9788975946530","2","(유우익의 국토기행)장소의 의미","유우익 지음","삶과꿈","","03810","10000","http://image.aladin.co.kr/product/51/54/cover/8975946533_1.gif","저자가 직접 현지 답사를 하며 그 지방의 특징과 내력과 그곳을 보금자리로 잡은 사람들의 독특한 숨결과 소망과 한을 읽어내었다. 비무장 지대 의 아름다움과 그곳의 긴장 또 강변, 호반, 온천, 숲 등 답사와 글을 통해 장소의 담긴 의미를 찾고자 한 27가지의 이야기가 실려있다.","981.1","유우익의국토기행장소의의미","유우익지음","2004-09-17","Y","Y","8975946533(2)"
"3220457","9788940913185","","엄지 동자","페로 글;프뢰벨유아교육연구소 옮김","한국프뢰벨","","74800","","","","375.1","엄지동자","페로글프뢰벨유아교육연구소옮김","","Y","Y","8940913183"
"3325737","9788940911358","","임금님 행차요","프뢰벨유아교육연구소 글;현은영 그림","한국프뢰벨","","74800","","","","375.1","임금님행차요","프뢰벨유아교육연구소글현은영그림","","Y","Y","8940911350"
"383628","9788940912201","1 - 4/","신데렐라","페로 글;프뢰벨유아교육연구소 옮김","한국프뢰벨","","74800","","","","375.1","신데렐라","페로글프뢰벨유아교육연구소옮김","","Y","Y","8940912209(세트)"
"3220460","9788940913154","","신데렐라","페로 글;프뢰벨유아교육연구소 옮김","한국프뢰벨","","74800","","","","375.1","신데렐라","페로글프뢰벨유아교육연구소옮김","","Y","Y","8940913159"
"385384","9788981054779","1 - 15/","오선친구","이인표;강금선 [공]편저","음악세계","","74670","","","","671","오선친구","이인표강금선공편저","","Y","Y","8981054770(전15권)"
