"SEQ_NO","ISBN_THIRTEEN_NO","VLM_NM","TITLE_NM","AUTHR_NM","PUBLISHER_NM","PBLICTE_DE","ADTION_SMBL_NM","PRC_VALUE","IMAGE_URL","BOOK_INTRCN_CN","KDC_NM","TITLE_SBST_NM","AUTHR_SBST_NM","TWO_PBLICTE_DE","INTNT_BOOKST_BOOK_EXST_AT","PORTAL_SITE_BOOK_EXST_AT","ISBN_NO"
"5011746","9784106425431","3","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268719.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425432 (3):"
"5011747","9784106425448","4","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268720.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425440 (4):"
"5011748","9784106425455","5","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268721.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425459 (5):"
"5011749","9784106425462","6","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268722.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425467 (6):"
"5011750","9784106425479","7","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268723.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425475 (7):"
"5011751","9784106425486","8","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268724.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425483 (8):"
"5011752","9784106425493","9","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268725.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425491 (9):"
"5011753","9784106425509","10","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268726.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425505 (10):"
"5011754","9784106425516","11","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268727.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425513 (11):"
"5011755","9784106425523","12","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268728.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425521 (12):"
"5011756","9784106425530","13","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268729.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","410642553X (13):"
"5011757","9784106425547","14","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268730.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425548 (14):"
"5011758","9784106425554","15","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268731.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425556 (15):"
"5011759","9784106425561","16","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268732.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425564 (16):"
"5011760","9784106425578","17","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268733.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425572 (17):"
"5011761","9784106425585","18","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268734.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425580 (18):"
"5011762","9784106425592","19","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268735.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425599 (19):"
"5011763","9784106425608","20","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268736.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425602 (20):"
"5011764","9784106425615","21","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268737.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425610 (21):"
"5011765","9784106425622","22","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268738.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425629 (22):"
"5011766","9784106425639","23","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268739.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425637 (23):"
"5011767","9784106425646","24","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268740.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425645 (24):"
"5011768","9784106425653","25","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268741.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425653 (25):"
"5011769","9784106425660","26","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268742.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425661 (26):"
"5011770","9784106425677","27","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268743.jpg?type=m1&udate=20181113","","833.6","","","20002003","Y","Y","410642567X (27):"
"5011771","9784106425684","28","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268744.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425688 (28):"
"5011772","9784106425691","29","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268745.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425696 (29):"
"5011773","9784106425707","30","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268746.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","410642570X (30):"
"5011774","9784106425714","31","(決定版)三島由紀夫全集","三島由紀夫 著","新潮社","","","81600","https://bookthumb-phinf.pstatic.net/cover/022/687/02268747.jpg?type=m1&udate=20181114","","833.6","","","20002003","Y","Y","4106425718 (31):"
"263569","9784878934315","","梶井基次郞の世界","鈴木貞美 著","作品社","","","","","","830.99","","","","Y","Y","487893431X:"
"263573","9784784211043","","谷崎潤一郞と世紀末","松村昌家 編","思文閣出版","","","","","","830.99","","","","Y","Y","4784211047:"
"263579","9784931466456","","投資家の豫想形成と相場動向:QSSサーベイデータによる分析","若杉敬明;淺野幸弘 [共]編著","日經BP企畵","","","","","","327.4","qss","","","Y","Y","4931466451:"
"263587","9784877371340","","近代文學 美の諸相","秋山公男 著","翰林書房","","","","","","830.906","","","","Y","Y","4877371346:"
"263589","9784757120570","","現代保險業のシステム變動=市場·企業·産業融合/(An)economic analysis in insurance business system","井口富夫 著","NTT出版","","","","","","328.16","aneconomicanalysisininsurancebusinesssystem","","","Y","Y","4757120575:"
"263608","9784490106008","","古典文學を讀むための用語辭典","西澤正史 編","東京堂出版","","","","","","830.3","","","","Y","Y","4490106009:"
"263654","9788939703254","","부동산세법:2003 제14회 공인중개사 시험대비","엄대석;이재문 [공]저","화학사","","13370","25000","https://bookthumb-phinf.pstatic.net/cover/018/901/01890120.jpg?type=m1&udate=20110415","2003년 14회 공인중개사 시험 대비 부동산세법 수험서. 산업인력공단 출제경향 분석에 따른 개정법률 완벽 반영, 암기 위주에서 탈피, 이해 위주로 학습능률을 극대화하였으며 제13회 기출문제 완벽 분석, 수록했다. 책속의 책 특별부록으로 Point 부동산 관련세법 수록.","329.432","부동산세법2003제14회공인중개사시험대비","엄대석이재문공저","2003-01-15","Y","Y","8939703251"
"263680","9788978800839","","교육사회학","공석영;김정호 공저","MJ미디어","","93370","10000","http://image.aladin.co.kr/product/39/82/cover/8978800831_1.gif","청소년의 건전교화 육성은 시대적, 국가적 과제이므로 본 저서의 특징은 학교교육이 갖는 시대적 의미와 교육사회학의 발달과의 관련성을 모색하고 이론과 실제를 교육현장에 적용할 수 있도록 하는데 있다. 그 내용으로는 교육사회학의 역사적 고찰, 교육과 사회현상, 학교의 제 특징, 청소년 문화... ","370.13","교육사회학","공석영김정호공저","2003-01-30","Y","Y","8978800831"
"263750","9788952854667","1 - 3/","시공의 크로스로드","타카미 카즈유키 저;[안미츠 소우 일러스트]","대원씨아이","","07830","","","","833.6","시공의크로스로드","타카미카즈유키저안미츠소우일러스트","","Y","Y","8952854667(세트)"
"3019361","9788952854674","1","시공의 크로스로드","타카미 카즈유키 저;[안미츠 소우 일러스트]","대원씨아이","","07830","4500","https://bookthumb-phinf.pstatic.net/cover/001/169/00116965.jpg?type=m1&udate=20130629","타카미 카즈유키 시공간 전이 SF 판타지. 마음이 맞는 친구들에게 둘러싸여 평범하지만 평화로운 나날을 보내던 후지시의 고교생 키나시 유키미즈는 어느날 이상한 할아버지에게 시공전이장치라는 것을 받게된다. 스위치를 누른 순간 유키미즈가 도착한 곳은 붕괴된 후지시. 곤란한 상황의 연속 속에서... ","833.6","시공의크로스로드","타카미카즈유키저안미츠소우일러스트","2002-12-15","Y","Y","8952854675(1)"
"263755","9788952855749","1 - 12/","악마의 파트너","우에오 히사미츠 지음;Kaori Fujita 일러스트","대원씨아이","","07830","","","","833.6","악마의파트너","우에오히사미츠지음kaorifujita일러스트","","Y","Y","8952855744 (세트)"
"5011777","9788952860958","2","시공의 크로스로드","타카미 카즈유키 저;[안미츠 소우 일러스트]","대원씨아이","","07830","5900","https://image.aladin.co.kr/product/41/39/cover/6000077269_1.gif","타카미 카즈유키 시공간 전이 SF 판타지. 마음이 맞는 친구들에게 둘러싸여 평범하지만 평화로운 나날을 보내던 후지시의 고교생 키나시 유키미즈는 어으날 이상한 할아버지에게 시공전이장치라는 것을 받게된다. 스위치를 누른 순간 유키미즈가 도착한 곳은 붕괴된 후지시. 곤란한 상황의 연속 속에서... ","833.6","시공의크로스로드","타카미카즈유키저안미츠소우일러스트","2003-05-10","Y","Y","8952860950(2)"
"5011778","9788952864932","3","시공의 크로스로드","타카미 카즈유키 저;[안미츠 소우 일러스트]","대원씨아이","","07830","5900","https://image.aladin.co.kr/product/43/22/cover/895286493x_1.gif","마음이 맞는 친구들에게 둘러싸여 평범하지만 평화로운 나날을 보내고 있던 후지시의 고교생 키나시 유키미즈. 그러던 어느날, '자네에겐 재능이 있는 것 같군.' 이라고 말하는 이상한 할아버지로부터 시공전이장치라는 것을 받게 된다.","833.6","시공의크로스로드","타카미카즈유키저안미츠소우일러스트","2003-09-15","Y","Y","895286493X(3)"
"3019360","9788952855756","1","악마의 파트너","우에오 히사미츠 지음;Kaori Fujita 일러스트","대원씨아이","","07830","4900","https://bookthumb-phinf.pstatic.net/cover/001/186/00118641.jpg?type=m1&udate=20130629","우에오 히사미츠 미스테리 판타지 소설. '여동생이 납치되었다'는 조금 특이한 과거를 가진 고등학생 도지마 코우. 학교 조회 중 반바지 선생이 전교생 앞에서 가슴에 피를 쏟으며 죽어버린다. 그리고 코우 앞에 나타난 것은 형형색색의 에나멜 벨트를 온 몸 여기저기에 감은 기묘한 패션의 소녀, 자칭 '악마... ","833.6","악마의파트너","우에오히사미츠지음kaorifujita일러스트","2003-01-15","Y","Y","8952855752 (1)"
"3019366","9788952858214","2","악마의 파트너","우에오 히사미츠 지음;Kaori Fujita 일러스트","대원씨아이","","07830","5500","https://bookthumb-phinf.pstatic.net/cover/001/214/00121450.jpg?type=m1&udate=20130629","'IT'의 비밀을 아는 흡혈귀 'THE ONE'이 와카가오카에 잠입했다. 일찌감치 그 존재를 눈치채고 흡혈귀의 손아귀에서 사람들을 구하기 위해 들고 일어선 이가 있으니, 그는 바로 히로리자카 제2의 권력자 가문 미타카 가문의 장남 미타카 노보루였다. 하지만 문제는 그가 아직 초등학교 5학년이라는 것인데... ","833.6","악마의파트너","우에오히사미츠지음kaorifujita일러스트","2003-03-15","Y","Y","8952858212 (2)"
"3019379","9788952863010","3","악마의 파트너","우에오 히사미츠 지음;Kaori Fujita 일러스트","대원씨아이","","07830","5500","https://bookthumb-phinf.pstatic.net/cover/001/272/00127262.jpg?type=m1&udate=20130629","'여동생이 우주인에게 납치되었다'는 특별한 과거를 지닌 고등학생 도지마 코우. 조회 중에 한 선생이 전교생 앞에서 피를 쏟으며 죽는 일이 벌어진다. 그리고 갑자기 그의 앞에 나타난 기묘한 애나멜 패션의 소녀. 그녀는 자신을 '악마'라고 주장하는데...&quot;그저께 당신의 소망은 이루어졌습니다. 저는... ","833.6","악마의파트너","우에오히사미츠지음kaorifujita일러스트","2003-07-15","Y","Y","8952863011 (3)"
"3019376","9788952864710","4","악마의 파트너","우에오 히사미츠 지음;Kaori Fujita 일러스트","대원씨아이","","07830","5500","https://bookthumb-phinf.pstatic.net/cover/001/291/00129142.jpg?type=m1&udate=20130622","'여동생이 우주인에게 납치되었다'는 특별한 과거를 지닌 고등학생 도지마 코우. 조회 중에 한 선생이 전교생 앞에서 피를 쏟으며 죽는 일이 벌어진다. 그리고 갑자기 그의 앞에 나타난 기묘한 애나멜 패션의 소녀. 그녀는 자신을 '악마'라고 주장하는데...&quot;그저께 당신의 소망은 이루어졌습니다. 저는... ","833.6","악마의파트너","우에오히사미츠지음kaorifujita일러스트","2003-08-15","Y","Y","8952864719 (4)"
